H	"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC"	C000654	4/2/2018	O	4/1/2018	T	T	Karen Gallardo 713-215-3572				
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	51173	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	75254	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	57193	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	117396	0					
P	S9	WASHINGTON STG TRANS	95	1100001	ZONE 3	2463	0					
D	PIEDMONT NATURAL GAS COMPANY INC	6996219	N	FT	1004189	11/1/1995	10/31/2005	279	N	71726	0	o4
P	S8	PIEDMONT	95	1006576	ZONE 5	71726	0					
P	S9	HATTIESBURG	95	1001686	ZONE 4	18769	0					
P	S9	HEIDELBERG	95	1006120	ZONE 4	17915	0					
P	S9	HOLMESVILLE	95	1006128	ZONE 4	35042	0					
D	PIEDMONT NATURAL GAS COMPANY INC	6996219	N	FT	1004197	11/1/1995	10/31/2005	279	N	776	0	o4
P	S8	PIEDMONT	95	1006576	ZONE 5	776	0					
P	S9	HEIDELBERG	95	1006120	ZONE 4	776	0					
D	PIEDMONT NATURAL GAS COMPANY INC	6996219	N	FT	1004995	8/1/1991	7/30/2011	1095	N	6314	0	o1
P	S8	POOLING-STATION 65	95	1000065	ZONE 3	2463	0					
P	S8	PIEDMONT	95	1006576	ZONE 5	6314	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	1073	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	1579	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	1199	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	2463	0					
P	S9	WASHINGTON STG TRANS	95	1100001	ZONE 3	2463	0					
D	PIEDMONT NATURAL GAS COMPANY INC	6996219	N	FT	1011994	11/1/1995	10/31/2016	365	N	13232	0	
P	S8	POOLING-STATION 210	95	1000178	ZONE 6	13232	0					
P	S9	LEIDY-DOMINION	95	1006161	ZONE 6	13232	0					
D	PIEDMONT NATURAL GAS COMPANY INC	6996219	N	FT	1012026	11/1/1995	10/31/2015	730	N	129485	0	
P	S8	PIEDMONT	95	1006576	ZONE 5	129485	0					
P	S9	POOLING-STA 85-ZN 4	95	1000105	ZONE 4	129485	0					
D	PIEDMONT NATURAL GAS COMPANY INC	6996219	N	FT	1020771	11/1/1997	3/31/2018	730	N	41400	0	
P	S8	PIEDMONT	95	1006576	ZONE 5	41400	0					
P	S9	POOLING-STATION 65	95	1000065	ZONE 3	32199	0					
P	S9	POOLING-STA 85-ZN 4	95	1000105	ZONE 4	9201	0					
D	PIEDMONT NATURAL GAS COMPANY INC	6996219	N	FT	9174932	9/1/2015	8/31/2035		Y	20000	0	
P	S8	VSS PLEASANT HILL	95	9008726	ZONE 5	20000	0					
P	S9	POOLING-STATION 210	95	1000178	ZONE 6	20000	0					
D	PIEDMONT NATURAL GAS COMPANY INC	6996219	N	FT	9178798	1/5/2016	1/31/2031		Y	100000	0	
P	S8	POOLING-STA 85-ZN 4	95	1000105	ZONE 4	100000	0					
P	S9	MARC I	95	9007162	ZONE 6	100000	0					
D	PIEDMONT NATURAL GAS COMPANY INC	6996219	N	GSS	1000717	4/1/2013	3/31/2023		N	0	4293463	
P	WR	GSS LEIDY/CONGAS/NA	95	1002688	ZONE 6	0	77475					
D	PIEDMONT NATURAL GAS COMPANY INC	6996219	N	LNG	9015489	11/1/2013	10/31/2016	365	N	0	44754	
P	WR	CARLSTADT LNG STG	95	1002686	ZONE 6	0	8643					
D	PIEDMONT NATURAL GAS COMPANY INC	6996219	N	WSS-OA	9012466	2/1/2004	3/31/2005	365	N	0	9126563	
P	WR	WASHINGTON STORAGE	95	1002687	ZONE 3	0	96069					
D	"PIVOTAL UTILITY HOLDINGS, INC."	56711344	N	ESS	1013463	11/1/1993	9/30/2029		Y	0	250075	
A	AGL SERVICE COMPANY	N										
A	SEQUENT ENERGY MANAGEMENT LP	N										
P	WR	EMINENCE EESWS & ES	95	1002689	ZONE 4	0	29822					
D	"PIVOTAL UTILITY HOLDINGS, INC."	56711344	N	FT	1002230	8/1/1991	3/23/1998	1095	N	1811	0	
A	AGL SERVICE COMPANY	N										
A	SEQUENT ENERGY MANAGEMENT LP	N										
P	S8	ELIZABETHTOWN	95	1006559	ZONE 6	1811	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	308	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	451	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	345	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	707	0					
D	"PIVOTAL UTILITY HOLDINGS, INC."	56711344	N	FT	1003686	2/1/1992	10/30/2004	1095	N	77755	0	o14
A	AGL SERVICE COMPANY	N										
A	SEQUENT ENERGY MANAGEMENT LP	N										
P	S8	POOLING-STATION 65	95	1000065	ZONE 3	767	0					
P	S8	ELIZABETHTOWN	95	1006559	ZONE 6	77755	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	13218	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	19439	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	14774	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	30324	0					
P	S9	WASHINGTON STG TRANS	95	1100001	ZONE 3	767	0					
D	"PIVOTAL UTILITY HOLDINGS, INC."	56711344	N	FT	1003832	11/1/1995	12/13/2009	365	N	5175	0	
A	AGL SERVICE COMPANY	N										
A	SEQUENT ENERGY MANAGEMENT LP	N										
P	S8	ELIZABETHTOWN	95	1006559	ZONE 6	5175	0					
P	S9	LEIDY-DOMINION	95	1006161	ZONE 6	5175	0					
D	"PIVOTAL UTILITY HOLDINGS, INC."	56711344	N	FT	1005014	8/1/1991	7/30/2006	1095	N	1967	0	o1
A	AGL SERVICE COMPANY	N										
A	SEQUENT ENERGY MANAGEMENT LP	N										
P	S8	POOLING-STATION 65	95	1000065	ZONE 3	767	0					
P	S8	ELIZABETHTOWN	95	1006559	ZONE 6	1967	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	334	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	492	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	374	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	767	0					
P	S9	WASHINGTON STG TRANS	95	1100001	ZONE 3	767	0					
D	"PIVOTAL UTILITY HOLDINGS, INC."	56711344	N	FT	1010431	4/1/1995	3/31/1999	1095	N	2588	0	
A	AGL SERVICE COMPANY	N										
A	SEQUENT ENERGY MANAGEMENT LP	N										
P	S8	ELIZABETHTOWN	95	1006559	ZONE 6	2588	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	440	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	647	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	492	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	1009	0					
D	"PIVOTAL UTILITY HOLDINGS, INC."	56711344	N	FT	1010445	4/1/1995	2/1/1998	186	N	1442	0	
A	AGL SERVICE COMPANY	N										
A	SEQUENT ENERGY MANAGEMENT LP	N										
P	S8	DOWNINGTOWN	95	1006067	ZONE 6	1442	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	361	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	274	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	807	0					
D	"PIVOTAL UTILITY HOLDINGS, INC."	56711344	N	FT	1011995	11/1/1995	10/30/2014	365	N	15000	0	
A	AGL SERVICE COMPANY	N										
A	SEQUENT ENERGY MANAGEMENT LP	N										
P	S8	ELIZABETHTOWN	95	1006559	ZONE 6	15000	0					
P	S9	WHARTON-NAT FUEL	95	1006325	ZONE 6	15000	0					
D	"PIVOTAL UTILITY HOLDINGS, INC."	56711344	N	FT	1011997	11/1/1995	10/30/2006	365	N	17595	0	
A	AGL SERVICE COMPANY	N										
A	SEQUENT ENERGY MANAGEMENT LP	N										
P	S8	ELIZABETHTOWN	95	1006559	ZONE 6	17595	0					
P	S9	LEIDY-DOMINION	95	1006161	ZONE 6	17595	0					
D	"PIVOTAL UTILITY HOLDINGS, INC."	56711344	N	FT	1011998	11/1/1995	10/30/2007	365	N	15615	0	
A	AGL SERVICE COMPANY	N										
A	SEQUENT ENERGY MANAGEMENT LP	N										
P	S8	ELIZABETHTOWN	95	1006559	ZONE 6	15615	0					
P	S9	LEIDY-NATIONAL FUEL	95	1007065	ZONE 6	15615	0					
D	"PIVOTAL UTILITY HOLDINGS, INC."	56711344	N	FT	1021359	12/1/1997	3/30/2005	180	N	2635	0	o14
A	AGL SERVICE COMPANY	N										
A	SEQUENT ENERGY MANAGEMENT LP	N										
P	S8	POOLING-STATION 65	95	1000065	ZONE 3	20	0					
P	S8	EASTERN SHORE	95	1006570	ZONE 6	2635	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	448	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	658	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	501	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	1028	0					
P	S9	WASHINGTON STG TRANS	95	1100001	ZONE 3	20	0					
D	"PIVOTAL UTILITY HOLDINGS, INC."	56711344	N	FT	1021368	12/1/1997	7/30/2006	180	N	52	0	o1
A	AGL SERVICE COMPANY	N										
A	SEQUENT ENERGY MANAGEMENT LP	N										
P	S8	POOLING-STATION 65	95	1000065	ZONE 3	20	0					
P	S8	EASTERN SHORE	95	1006570	ZONE 6	52	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	9	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	13	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	10	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	20	0					
P	S9	WASHINGTON STG TRANS	95	1100001	ZONE 3	20	0					
D	"PIVOTAL UTILITY HOLDINGS, INC."	56711344	N	FT	1044821	1/1/2003	3/31/2008	365	N	6973	0	o19
A	AGL SERVICE COMPANY	N										
A	SEQUENT ENERGY MANAGEMENT LP	N										
P	S8	ELIZABETHTOWN	95	1006559	ZONE 6	6973	0					
P	S9	LEIDY-DOMINION	95	1006161	ZONE 6	6973	0					
D	"PIVOTAL UTILITY HOLDINGS, INC."	56711344	N	FT	9077828	12/21/2008	10/31/2029		Y	10000	0	
A	SEQUENT ENERGY MANAGEMENT LP	N										
P	S8	ELIZABETHTOWN	95	1006559	ZONE 6	10000	0					
P	S9	PLEASANT VALLEY	95	1095059	ZONE 5	5000	0					
P	S9	LEIDY-DOMINION	95	1006161	ZONE 6	5000	0					
D	"PIVOTAL UTILITY HOLDINGS, INC."	56711344	N	FT	9090630	11/19/2009	11/18/2029		Y	5000	0	
A	SEQUENT ENERGY MANAGEMENT LP	N										
P	S8	ETOWN ERIE STREET	95	9005182	ZONE 6	5000	0					
P	S9	PLEASANT VALLEY	95	1095059	ZONE 5	5000	0					
D	"PIVOTAL UTILITY HOLDINGS, INC."	56711344	N	FT	9158868	7/1/2014	6/30/2019		N	11090	0	
A	SEQUENT ENERGY MANAGEMENT LP	N										
P	S8	ELIZABETHTOWN	95	1006559	ZONE 6	11090	0					
P	S9	WHARTON-NAT FUEL	95	1006325	ZONE 6	11090	0					
D	"PIVOTAL UTILITY HOLDINGS, INC."	56711344	N	FT	9159808	8/1/2014	6/30/2019		N	500	0	
A	SEQUENT ENERGY MANAGEMENT LP	N										
P	S8	ELIZABETHTOWN	95	1006559	ZONE 6	500	0					
P	S9	LEIDY-DOMINION	95	1006161	ZONE 6	500	0					
D	"PIVOTAL UTILITY HOLDINGS, INC."	56711344	N	GSS	1000739	4/1/2013	3/31/2023		N	0	1759955	
A	AGL SERVICE COMPANY	N										
A	SEQUENT ENERGY MANAGEMENT LP	N										
P	WR	GSS LEIDY/CONGAS/NA	95	1002688	ZONE 6	0	27604					
D	"PIVOTAL UTILITY HOLDINGS, INC."	56711344	N	LNG	1032229	11/1/2013	6/30/2019		N	0	154951	
A	AGL SERVICE COMPANY	N										
A	SEQUENT ENERGY MANAGEMENT LP	N										
P	WR	CARLSTADT LNG STG	95	1002686	ZONE 6	0	38950					
D	"PIVOTAL UTILITY HOLDINGS, INC."	56711344	N	LSS	1000741	4/1/2013	3/31/2023		N	0	600000	
A	AGL SERVICE COMPANY	N										
A	SEQUENT ENERGY MANAGEMENT LP	N										
P	WR	LSS STG C/N/P	95	1002694	ZONE 6	0	8000					
D	"PIVOTAL UTILITY HOLDINGS, INC."	56711344	N	S-2	1000742	11/1/1954	4/15/2001	365	N	0	653183	
A	AGL SERVICE COMPANY	N										
A	SEQUENT ENERGY MANAGEMENT LP	N										
P	WR	OAKFORD STG TETCO	95	1002696	ZONE 6	0	7267					
D	"PIVOTAL UTILITY HOLDINGS, INC."	56711344	N	WSS-OA	1041432	2/1/2002	1/31/2012	365	N	0	3412638	
A	AGL SERVICE COMPANY	N										
A	SEQUENT ENERGY MANAGEMENT LP	N										
P	WR	WASHINGTON STORAGE	95	1002687	ZONE 3	0	35923					
D	POWERSOUTH ENERGY COOPERATIVE	6900005	N	FT	9109951	5/1/2011	4/30/2026		N	20000	0	
A	BP ENERGY COMPANY	N										
P	S8	CODEN-GS M4596	95	9003000	ZONE 4A	20000	0					
P	S9	POOLING-ST 85-ZN 4A	95	9005542	ZONE 4A	20000	0					
D	POWERSOUTH ENERGY COOPERATIVE	6900005	N	FT	9167974	4/1/2015	3/31/2030		Y	25000	0	
A	BP ENERGY COMPANY	N										
P	S8	BAY GAS STG	95	9004562	ZONE 4A	25000	0					
P	S9	POOLING-ST 85-ZN 4A	95	9005542	ZONE 4A	25000	0					
D	"PRATT INDUSTRIES (USA) MILL DIVISION D/B/A VISY PAPER, INC."	809169816	N	FT	1037186	11/1/2000	10/31/2015	365	N	4500	0	
A	"DIRECT ENERGY BUSINESS MARKETING, LLC"	N										
P	S8	VISY PAPER M7372	95	1093410	ZONE 4	4500	0					
P	S9	POOLING-STA 85-ZN 4	95	1000105	ZONE 4	4500	0					
D	PSEG ENERGY RESOURCES & TRADE LLC	848784257	N	ESS	1008564	11/1/1993	10/31/2013	365	N	0	1186535	
P	WR	EMINENCE EESWS & ES	95	1002689	ZONE 4	0	141544					
D	PSEG ENERGY RESOURCES & TRADE LLC	848784257	N	FT	1002228	8/1/1991	3/1/1998	1095	N	6440	0	
P	S8	PUBLIC SERVICE E&G	95	1006386	ZONE 6	6440	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	1095	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	1610	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	1223	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	2512	0					
D	PSEG ENERGY RESOURCES & TRADE LLC	848784257	N	FT	1003688	2/1/1992	3/30/2005	1095	N	425930	0	
P	S8	PUBLIC SERVICE E&G	95	1006386	ZONE 6	425930	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	72409	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	106482	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	80926	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	166113	0					
D	PSEG ENERGY RESOURCES & TRADE LLC	848784257	N	FT	1003835	11/15/1996	12/13/2009	365	N	198950	0	
P	S8	PUBLIC SERVICE E&G	95	1006386	ZONE 6	198950	0					
P	S9	LEIDY-DOMINION	95	1006161	ZONE 6	198950	0					
D	PSEG ENERGY RESOURCES & TRADE LLC	848784257	N	FT	1005002	8/1/1991	7/30/2006	1095	N	13248	0	o1
P	S8	PUBLIC SERVICE E&G	95	1006386	ZONE 6	13248	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	2252	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	3312	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	2516	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	5168	0					
D	PSEG ENERGY RESOURCES & TRADE LLC	848784257	N	FT	1006312	1/15/1992	1/14/2012	1095	N	72450	0	x20
A	"TENNESSEE GAS PIPELINE COMPANY, L.L.C."	N										
P	S8	PUBLIC SERVICE E&G	95	1006386	ZONE 6	72450	0					
P	S9	RIVERVALE	95	1006224	ZONE 6	72450	0					
D	PSEG ENERGY RESOURCES & TRADE LLC	848784257	N	FT	1033145	1/1/2000	10/31/2006	365	N	48240	0	
P	S8	POOLING-STATION 210	95	1000178	ZONE 6	48240	0					
P	S9	LEIDY-NATIONAL FUEL	95	1007065	ZONE 6	48240	0					
D	PSEG ENERGY RESOURCES & TRADE LLC	848784257	N	FT	1041156	12/19/2001	12/18/2011	365	N	50000	0	
P	S8	PUBLIC SERVICE E&G	95	1006386	ZONE 6	50000	0					
P	S9	LEIDY-DOMINION	95	1006161	ZONE 6	50000	0					
D	PSEG ENERGY RESOURCES & TRADE LLC	848784257	N	FT	1044211	11/1/2002	10/31/2012	365	N	50000	0	
P	S8	PUBLIC SERVICE E&G	95	1006386	ZONE 6	50000	0					
P	S9	LEIDY-DOMINION	95	1006161	ZONE 6	50000	0					
D	PSEG ENERGY RESOURCES & TRADE LLC	848784257	N	FT	9009846	11/1/2003	10/31/2004	186	N	73500	0	
P	S8	BGE-BEAVER DAM M4392	95	1006743	ZONE 6	25000	0					
P	S8	PUBLIC SERVICE E&G	95	1006386	ZONE 6	33500	0					
P	S8	RIVERSIDE	95	9003765	ZONE 6	15000	0					
P	S9	WHARTON-NAT FUEL	95	1006325	ZONE 6	73500	0					
D	PSEG ENERGY RESOURCES & TRADE LLC	848784257	N	FT	9066768	11/1/2007	3/31/2008	365	N	43300	0	o19
P	S8	PUBLIC SERVICE E&G	95	1006386	ZONE 6	43300	0					
P	S9	LEIDY-DOMINION	95	1006161	ZONE 6	43300	0					
D	PSEG ENERGY RESOURCES & TRADE LLC	848784257	N	FT	9146335	11/1/2013	10/31/2016	365	N	9400	0	
P	S8	PUBLIC SERVICE E&G	95	1006386	ZONE 6	9400	0					
P	S9	LEIDY-DOMINION	95	1006161	ZONE 6	9400	0					
D	PSEG ENERGY RESOURCES & TRADE LLC	848784257	N	FT	9146336	11/1/2013	10/31/2016	365	N	9850	0	
P	S8	PUBLIC SERVICE E&G	95	1006386	ZONE 6	9850	0					
P	S9	WHARTON-N PENN M6174	95	1006326	ZONE 6	9850	0					
D	PSEG ENERGY RESOURCES & TRADE LLC	848784257	N	GSS	1000822	4/1/2013	3/31/2023		N	0	15774557	
P	WR	GSS LEIDY/CONGAS/NA	95	1002688	ZONE 6	0	203057					
D	PSEG ENERGY RESOURCES & TRADE LLC	848784257	N	LNG	1000824	11/1/2007	10/31/2016	365	N	0	1333817	
P	WR	CARLSTADT LNG STG	95	1002686	ZONE 6	0	273331					
D	PSEG ENERGY RESOURCES & TRADE LLC	848784257	N	LNG	9127690	11/1/2013	10/31/2017	365	N	0	15525	
P	WR	CARLSTADT LNG STG	95	1002686	ZONE 6	0	2070					
D	PSEG ENERGY RESOURCES & TRADE LLC	848784257	N	LSS	1000826	4/1/2013	3/31/2023		N	0	4950890	
P	WR	LSS STG C/N/P	95	1002694	ZONE 6	0	47150					
D	PSEG ENERGY RESOURCES & TRADE LLC	848784257	N	S-2	1000823	11/1/1954	4/15/2001	365	N	0	6158589	
P	WR	OAKFORD STG TETCO	95	1002696	ZONE 6	0	68514					
D	PSEG POWER LLC	848793910	N	FT	9089688	11/1/2009	10/31/2024		Y	40000	0	
P	S8	PSE&G HAMILTON	95	9002360	ZONE 6	25000	0					
P	S8	PSE&G MOUNT LAUREL	95	9008967	ZONE 6	15000	0					
P	S9	PLEASANT VALLEY	95	1095059	ZONE 5	20000	0					
P	S9	LEIDY-DOMINION	95	1006161	ZONE 6	20000	0					
D	PSEG POWER LLC	848793910	N	FT	9090629	11/19/2009	11/18/2024		Y	10000	0	
P	S8	PSE&G PARAMUS	95	9008966	ZONE 6	10000	0					
P	S9	LEIDY-DOMINION	95	1006161	ZONE 6	10000	0					
D	PUBLIC SERVICE COMPANY OF NORTH CAROLINA	6996607	N	ESS	9011146	12/1/2003	9/30/2029		Y	0	318271	l15
P	WR	EMINENCE EESWS & ES	95	1002689	ZONE 4	0	37717					
D	PUBLIC SERVICE COMPANY OF NORTH CAROLINA	6996607	N	ESS	9050453	3/1/2007	9/30/2029		Y	0	321950	
P	WR	EMINENCE EESWS & ES	95	1002689	ZONE 4	0	38545					
D	PUBLIC SERVICE COMPANY OF NORTH CAROLINA	6996607	N	FT	1002264	8/1/1991	3/15/1998	1095	N	2264	0	
P	S8	PUBLIC SERV N C	95	1006608	ZONE 5	2264	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	385	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	566	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	430	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	883	0					
D	PUBLIC SERVICE COMPANY OF NORTH CAROLINA	6996607	N	FT	1003703	2/1/1992	1/30/2012	1095	N	164151	0	
A	"DIRECT ENERGY BUSINESS MARKETING, LLC"	N										
A	"WPX ENERGY MARKETING, LLC"	Y										
P	S8	PUBLIC SERV N C	95	1006608	ZONE 5	164151	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	27906	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	41037	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	31189	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	64019	0					
D	PUBLIC SERVICE COMPANY OF NORTH CAROLINA	6996607	N	FT	1004190	11/1/1995	10/31/2005	279	N	39330	0	o4
A	"WPX ENERGY MARKETING, LLC"	Y										
P	S8	PUBLIC SERV N C	95	1006608	ZONE 5	39330	0					
P	S9	HEIDELBERG	95	1006120	ZONE 4	5159	0					
P	S9	HOLMESVILLE	95	1006128	ZONE 4	34171	0					
D	PUBLIC SERVICE COMPANY OF NORTH CAROLINA	6996607	N	FT	1004996	8/1/1991	7/30/2011	1095	N	4347	0	o1
P	S8	PUBLIC SERV N C	95	1006608	ZONE 5	4347	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	739	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	1087	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	826	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	1695	0					
D	PUBLIC SERVICE COMPANY OF NORTH CAROLINA	6996607	N	FT	1006505	10/1/1993	10/30/2012	365	N	1401	0	
P	S8	LEIDY-DOMINION	95	1006161	ZONE 6	1401	0					
P	S9	CPH M/L MP 446.41	95	9007102	ZONE 2	1371	0					
P	S9	CPH M/L 469.41	95	9007103	ZONE 3	30	0					
D	PUBLIC SERVICE COMPANY OF NORTH CAROLINA	6996607	N	FT	1012028	11/1/1995	10/31/2015	730	N	44627	0	
P	S8	PUBLIC SERV N C	95	1006608	ZONE 5	44627	0					
P	S9	POOLING-STA 85-ZN 4	95	1000105	ZONE 4	44627	0					
D	PUBLIC SERVICE COMPANY OF NORTH CAROLINA	6996607	N	FT	1012381	1/24/1996	10/31/2007	365	N	5175	0	
P	S8	POOLING-STATION 210	95	1000178	ZONE 6	5175	0					
P	S9	LEIDY-DOMINION	95	1006161	ZONE 6	5175	0					
D	PUBLIC SERVICE COMPANY OF NORTH CAROLINA	6996607	N	FT	9103562	11/1/2010	4/30/2018		Y	20000	0	
P	S8	LEXINGTON	95	1006163	ZONE 5	20000	0					
P	S9	POOLING-STATION 65	95	1000065	ZONE 3	20000	0					
D	PUBLIC SERVICE COMPANY OF NORTH CAROLINA	6996607	N	FT	9130053	11/1/2012	3/31/2023		N	9633	0	
P	S8	LEIDY-DOMINION	95	1006161	ZONE 6	9633	0					
P	S9	CPH M/L MP 446.41	95	9007102	ZONE 2	9425	0					
P	S9	CPH M/L 469.41	95	9007103	ZONE 3	208	0					
D	PUBLIC SERVICE COMPANY OF NORTH CAROLINA	6996607	N	FT	9178381	1/5/2016	1/4/2031		Y	100000	0	
P	S8	POOLING-STA 85-ZN 4	95	1000105	ZONE 4	100000	0					
P	S9	GRUGAN M3623	95	9005642	ZONE 6	50000	0					
P	S9	MARC I	95	9007162	ZONE 6	50000	0					
D	PUBLIC SERVICE COMPANY OF NORTH CAROLINA	6996607	N	GSS	1000732	4/1/2013	3/31/2023		N	0	1835944	
P	WR	GSS LEIDY/CONGAS/NA	95	1002688	ZONE 6	0	33218					
D	PUBLIC SERVICE COMPANY OF NORTH CAROLINA	6996607	N	LNG	9019071	11/1/2013	10/31/2016	365	N	0	25875	
P	WR	CARLSTADT LNG STG	95	1002686	ZONE 6	0	5175					
D	PUBLIC SERVICE COMPANY OF NORTH CAROLINA	6996607	N	WSS-OA	9019052	9/1/2004	1/31/2012	365	N	0	2794500	
P	WR	WASHINGTON STORAGE	95	1002687	ZONE 3	0	29416					
D	RAINBOW ENERGY MARKETING CORPORATION	861498608	N	FT	9146903	11/12/2013	2/28/2015	90	N	2788	0	
P	S8	LEIDY-DOMINION	95	1006161	ZONE 6	2788	0					
P	S9	CPH M/L MP 446.41	95	9007102	ZONE 2	2728	0					
P	S9	CPH M/L 469.41	95	9007103	ZONE 3	60	0					
D	RAINBOW ENERGY MARKETING CORPORATION	861498608	N	FT	9147723	11/26/2013	2/28/2014	60	N	3930	0	
P	S8	DOWNINGTOWN	95	1006067	ZONE 6	3930	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	983	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	746	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	2201	0					
D	RAINBOW ENERGY MARKETING CORPORATION	861498608	N	FT	9204587	10/1/2017	5/31/2018		N	5000	0	
P	S8	HOLMESVILLE	95	1006128	ZONE 4	5000	0					
P	S9	POOLING-STATION 210	95	1000178	ZONE 6	5000	0					
D	"RANGE RESOURCES - APPALACHIA, LLC"	114534337	N	FT	9163047	11/1/2014	10/31/2024		N	80000	0	
P	S8	LEIDY-DOMINION	95	1006161	ZONE 6	80000	0					
P	S9	MARC I	95	9007162	ZONE 6	80000	0					
D	REYNOLDS METALS COMPANY	1344209	N	FT	1020819	11/1/1997	7/30/2005	180	N	575	0	
A	"CONSTELLATION NEWENERGY-GAS DIVISION, LLC"	N										
P	S8	EMPORIA WALDROP	95	1000941	ZONE 5	575	0					
P	S9	POOLING-STATION 165	95	1000139	ZONE 5	575	0					
D	"SABINE PASS LIQUEFACTION, LLC"	78731670	N	FT	9196598	2/1/2017	1/31/2037		Y	1200000	0	
P	S8	LIGHTHOUSE ROAD M4662	95	9009310	ZONE 2	1200000	0					
P	S9	POOLING-STATION 65	95	1000065	ZONE 3	1200000	0					
D	SANTEE COOPER	56812456	N	FT	1037187	11/1/2000	10/31/2021		N	80000	0	
A	"THE ENERGY AUTHORITY, INC."	N										
P	S8	SAVANNAH M7374	95	1003503	ZONE 4	80000	0					
P	S9	POOLING-STA 85-ZN 4	95	1000105	ZONE 4	80000	0					
D	"SEMINOLE ELECTRIC COOPERATIVE, INC."	78332657	N	FT	9114632	5/1/2016	10/31/2026		N	25000	0	
P	S8	CODEN-GS M4596	95	9003000	ZONE 4A	25000	0					
P	S9	POOLING-ST 85-ZN 4A	95	9005542	ZONE 4A	25000	0					
D	SENECA RESOURCES CORPORATION	7912918	N	FT	9202436	9/1/2017	6/30/2018		N	25000	0	
P	S8	POOLING-STA 85-ZN 4	95	1000105	ZONE 4	25000	0					
P	S9	CPH RIVER ROAD M/L MP 1683.32	95	9009729	ZONE 6	25000	0					
