H	"ENABLE GAS TRANSMISSION, LLC"	C000544	4/2/2018	O	4/1/2018	T	T	P. Shupe        (346)701-2124				
P	MQ	WILLAMETTE-MALVERN-ACCT	95	11811	NORTH POOLING AREA	3600	0	YI3/YK3				
D	FLOWERS BAKERY OF TEXARKANA LLC	794638924	N	FT	1008479	1/1/2011	3/31/2012	365	N	68	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	68	0					
P	MQ	FLOWERS BAKERY OF T ACC	95	14616	SOUTH POOLING AREA	68	0	YI3/YK3				
D	FLOWERS BAKING CO OF BATESVILLE LLC	6339691	N	FT	1008490	1/1/2011	3/31/2012	365	N	315	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	315	0					
P	MQ	FLOWERS BAKING CO ACCT	95	14617	NORTH POOLING AREA	315	0	YI3/YK3				
D	FORREST CITY MEDICAL CENTER	608719600	N	FT	1008974	9/1/2011	3/31/2019		N	100	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	100	0					
P	MQ	FORREST CITY MED CTR AC	95	15129	NORTH POOLING AREA	100	0	YI3/YK3				
D	FOSTER FARMS LLC	831405514	N	FT	1007120	5/22/2009	12/31/2009	365	N	260	0	
A	CONOCOPHILLIPS COMPANY	N										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	260	0					
P	MQ	FOSTER FARM AR ACC	95	11695	SOUTH POOLING AREA	260	0	YI3/YK3				
D	FOSTER POULTRY FARMS	9178856	N	FT	1007119	5/22/2009	12/31/2009	365	N	1850	0	
A	CONOCOPHILLIPS COMPANY	N										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	1850	0					
P	MQ	FOSTER POULTRY FARM ACC	95	11696	SOUTH POOLING AREA	1850	0	YI3/YK3				
D	FRANKE CONSUMER PRODUCTS INC	2277457	N	FT	1006674	11/1/2008	3/31/2012	365	N	187	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	187	0					
P	MQ	FRANKE CONSUMER #2_ACCT	95	13900	SOUTH POOLING AREA	187	0	YI3/YK3				
D	"FRANKLIN ELECTRIC CO., INC."	208812202	N	FT	1010523	6/1/2015	3/31/2016	365	N	150	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	150	0					
P	MQ	FRANKLIN ELECT CO ACCT	95	15260	NEUTRAL POOLING AREA	150	0	YI3/YK3				
D	FREEDOM FUELS USA LLC	79264398	N	FT	1010111	2/1/2014	1/31/2019		N	40	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	40	0					
P	MQ	FREEDOM FUEL ACCT	95	15713	SOUTH POOLING AREA	40	0	YI3/YK3				
D	FRITO LAY INC	7326879	N	FT	1002208	6/1/1998	6/30/2016	365	N	1300	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	1300	0					
P	MQ	FRITO-LAY-ACCT	95	12713	NORTH POOLING AREA	1300	0	YI3/YK3				
D	FRYMASTER LLC	62928361	N	FT	1009567	10/1/2012	3/31/2016	365	N	51	0	
A	U.S. ENERGY SERVICES INC	N										
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	51	0					
P	MQ	FRYMASTER LLC ACCT	95	15460	SOUTH POOLING AREA	51	0	YI3/YK3				
D	FUTUREFUEL CHEMICAL COMPANY	613174684	N	FT	1000313	10/1/1987	11/30/2013	365	N	3500	0	
A	ENJET LLC	N										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	3500	0	YM2				
P	M2	MIDGE CPF #1	95	170645	NORTH POOLING AREA	2000	0					
P	MQ	FUTUREFUEL CHEM PLANT	95	801656	NORTH POOLING AREA	3500	0					
D	G & K SERVICES INC	22927230	N	FT	1007122	6/1/2009	3/31/2019		N	57	0	
A	U.S. ENERGY SERVICES INC	N										
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	57	0					
P	MQ	G & K SERVICES CO ACCT	95	14412	NORTH POOLING AREA	57	0	YI3/YK3				
D	G S ROOFING PRODUCTS COMPANY INC	21345186	N	FT	1002311	1/1/1999	8/31/2006	365	N	350	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	350	0					
P	MQ	G S ROOFING @ LR-ACCT	95	11446	NORTH POOLING AREA	350	0	YI3/YK3				
D	G S ROOFING PRODUCTS COMPANY INC	21345186	N	FT	1002312	1/1/1999	2/28/2011	365	N	500	0	
A	SPIRE MARKETING INC.	N										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	500	0					
P	MQ	GENSTAR SPORT PLT-ACCT	95	12144	SOUTH POOLING AREA	500	0	YI3/YK3				
D	"GARLAND COUNTY, ARKANSAS"	158443585	N	FT	1009425	6/1/2012	3/31/2016	365	N	32	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	32	0					
P	MQ	GARLAND COUNTY ARK ACCT	95	15267	NORTH POOLING AREA	32	0	YI3/YK3				
D	GARLOCK SEALING TECHNOLOGIES LLC D/B/A GARLOCK RUBBER TECHNOLOGIES	43075738	N	FT	1004236	4/1/2005	3/31/2019		N	340	0	
A	CLEARWATER ENTERPRISES LLC	N										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	340	0					
P	MQ	GARLOCK RUBBER - ACCT	95	13107	NORTH POOLING AREA	340	0	YI3/YK3				
D	GENERAL CABLE INDUSTRIES INC	793463209	N	FT	1006629	10/1/2008	3/31/2012	365	N	258	0	
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	258	0					
P	MQ	GENERAL CABLE ACCT	95	13885	NORTH POOLING AREA	258	0	YI3/YK3				
D	GENERAL ELECTRIC COMPANY	1367960	N	FT	1008717	4/1/2011	3/31/2019		N	200	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	200	0					
P	MQ	GENERAL ELECTRIC CO ACC	95	15027	SOUTH POOLING AREA	200	0	YI3/YK3				
D	GEO SPECIALTY CHEMICALS INC	801314378	N	FT	1000662	10/1/1990	4/30/2013	365	N	1200	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	1200	0					
P	MQ	GEO SPECIALTY CHEM ACCT	95	13784	NORTH POOLING AREA	1200	0	YI3/YK3				
D	GEORGIA PACIFIC CORPORATION-FORDYCE PLYWOOD	9020777	N	FT	1002572	1/27/2001	1/26/2006	365	N	1000	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	1000	0					
P	MQ	GEORGIA PAC FORDYCE ACC	95	12954	SOUTH POOLING AREA	1000	0	YI3/YK3				
D	GEORGIA-PACIFIC GYPSUM II LLC	787200693	N	FT	1009863	7/19/2013	3/31/2014	365	N	2500	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
A	"KOCH ENERGY SERVICES, LLC"	N										
P	M2	WEST 2 POINTS AND POOLS			WEST POOLING AREA 2	2500	0					
P	MQ	GA PAC FLETCHER	95	801639	WEST POOLING AREA 2	2500	0					
D	GEORGIA-PACIFIC PANEL PRODUCTS LLC	787200683	N	FT	1009864	7/19/2013	3/31/2017	365	N	300	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	300	0					
P	MQ	GA PACIFIC HOPE ACCT	95	11308	SOUTH POOLING AREA	300	0	YI3/YK3				
D	GERDAU MACSTEEL INC	53730701	N	FT	1006666	11/1/2008	7/31/2013	365	N	3500	0	
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	3500	0					
P	MQ	GERDAU MACSTEEL	95	438130	NORTH POOLING AREA	3500	0					
D	GMRI INC D/B/A DARDEN RESTAURANTS INC	52102555	N	FT	1009342	5/1/2012	3/31/2018	365	N	24	0	
A	ECOVA INC	N										
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	24	0					
P	MQ	GMRI LITTLE ROCK ACCT	95	15270	NORTH POOLING AREA	24	0	YI3/YK3				
D	GMRI INC D/B/A DARDEN RESTAURANTS INC	52102555	N	FT	1009343	5/1/2012	3/31/2018	365	N	15	0	
A	ECOVA INC	N										
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	15	0					
P	MQ	GMRI HOT SPRINGS ACCT	95	15268	NORTH POOLING AREA	15	0	YI3/YK3				
D	GMRI INC D/B/A DARDEN RESTAURANTS INC	52102555	N	FT	1009344	5/1/2012	3/31/2018	365	N	18	0	
A	ECOVA INC	N										
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	18	0					
P	MQ	GMRI JONESBORO ACCT	95	15269	NORTH POOLING AREA	18	0	YI3/YK3				
D	GMRI INC D/B/A DARDEN RESTAURANTS INC	52102555	N	FT	1009530	9/1/2012	3/31/2016	365	N	35	0	
A	ECOVA INC	N										
A	SPIRE MARKETING INC.	N										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	35	0					
P	MQ	GMRI BOSSIER ACCT	95	15431	SOUTH POOLING AREA	17	0	YI3/YK3				
P	MQ	GMRI SHREVEPORT ACCT	95	15432	SOUTH POOLING AREA	18	0	YI3/YK3				
D	GMRI INC D/B/A DARDEN RESTAURANTS INC	52102555	N	FT	1010183	4/1/2014	3/31/2018	365	N	27	0	
A	ECOVA INC	N										
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	27	0					
P	MQ	GMRI N LR ACC	95	15714	NORTH POOLING AREA	27	0	YI3/YK3				
D	"GO SPARQ, LLC"	80523844	N	FT	1011007	2/1/2017	1/31/2018	365	N	50	0	
A	CLEARWATER ENTERPRISES LLC	N										
P	M2	WEST 2 POINTS AND POOLS			WEST POOLING AREA 2	50	0					
P	MQ	GO SPARQ CNG ACCT	95	18358	WEST POOLING AREA 2	50	0	YI3/YK3				
D	GORDON SALES INC	81655912	N	FT	1007276	8/1/2009	3/31/2012	365	N	72	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	72	0	YM2				
P	M2	WASKOM PLANT TAILGATE	95	805228	SOUTH POOLING AREA	72	0					
P	MQ	GORDON SALES INC ACCT	95	14455	SOUTH POOLING AREA	72	0	YI3/YK3				
D	GRACE TRAILER SERVICE LLC	48135656	N	FT	1008463	1/1/2011	3/31/2012	365	N	93	0	
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	93	0	YM2				
P	M2	TGT @ W MEMPHIS IC	95	2017	NORTH POOLING AREA	93	0					
P	MQ	GRACE TRAILER SERV ACCT	95	14705	NORTH POOLING AREA	93	0	YI3/YK3				
D	GRADY MEMORIAL HOSPITAL AUTHORITY	77336659	N	FT	1008934	8/1/2011	3/31/2018	365	N	122	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	WEST 2 POINTS AND POOLS			WEST POOLING AREA 2	122	0					
P	MQ	GRADY MEM HOSP AUTH ACC	95	15110	WEST POOLING AREA 2	122	0	YI3/YK3				
D	"GRANGES AMERICAS, INC."	80368273	N	FT	1011012	2/1/2017	3/31/2018	365	N	450	0	
A	SIEMENS INDUSTRY INC	N										
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	450	0					
P	MQ	GRANGES @ NEWPORT ACCT	95	11430	NORTH POOLING AREA	450	0	YI3/YK3				
D	GRAPHIC PACKAGING INTERNATIONAL INC	808839062	N	FT	1011225	1/1/2018	1/31/2019		N	8500	0	
A	CONOCOPHILLIPS COMPANY	N										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	8500	0					
P	MQ	IP TEXARKANA PLANT	95	801552	SOUTH POOLING AREA	8500	0					
D	GREAT DANE LIMITED PARTNERSHIP	964822860	N	FT	1008798	5/1/2011	3/31/2018	365	N	224	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	224	0					
P	MQ	GREAT DANE LTD ACCT	95	15053	NORTH POOLING AREA	224	0	YI3/YK3				
D	"GREEN BAY PACKAGING, INC."	6146997	N	FT	1000176	1/1/1987	2/28/2021		Y	10000	0	
A	INTEGRYS ENERGY SERVICES INC.	N										
A	BP ENERGY COMPANY	N										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	10000	0	YM2				
P	M2	SHARKEY CPF #1	95	170644	NORTH POOLING AREA	7000	0					
P	MQ	ARKANSAS KRAFT PLANT	95	801550	NORTH POOLING AREA	10000	0					
D	GREENE COUNTY TECHNICAL SCHOOL DISTRICT	100004084	N	FT	1009548	10/1/2012	9/30/2013	365	N	104	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	104	0					
P	MQ	GREENE COUNTY #1 ACCT	95	15447	NORTH POOLING AREA	40	0	YI3/YK3				
P	MQ	GREENE COUNTY #2 ACCT	95	15448	NORTH POOLING AREA	32	0	YI3/YK3				
P	MQ	GREENE COUNTY #3 ACCT	95	15449	NORTH POOLING AREA	32	0	YI3/YK3				
D	"GRGCBHS, LLC"	178180002	N	FT	1010728	1/1/2016	4/30/2018		N	16	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	16	0					
P	MQ	"GRGCBHS, LLC ACCT"	95	15306	NORTH POOLING AREA	16	0	YI3/YK3				
D	GULF SOUTH PIPELINE COMPANY LP	78444247	N	FT	1001556	7/1/1995	3/31/2020		N	200	0	
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	200	0					
P	MQ	GULF SOUTH @ W STERLING	95	885605	SOUTH POOLING AREA	50	0					
P	MQ	GULF SOUTH @ SPENCER #2	95	885606	SOUTH POOLING AREA	100	0					
P	MQ	GULF SOUTH @ HAILE #2	95	885607	SOUTH POOLING AREA	50	0					
D	GULFPORT ENERGY CORPORATION	4850660	N	FT	1010499	4/1/2017	1/31/2026		N	30000	0	
A	SPIRE MARKETING INC.	N										
P	M2	WEST 2 POINTS AND POOLS			WEST POOLING AREA 2	15000	0	YM2				
P	M2	WEST 2 POINTS AND POOLS			WEST POOLING AREA 2	15000	0	YM2				
P	M2	WEX IC	95	303077	WEST POOLING AREA 2	30000	0					
P	MQ	EGT/MEP BENNINGTON	95	302020	WEST POOLING AREA 2	15000	0					
P	MQ	SESH FM-65 CORE DEL	95	898401	SOUTH POOLING AREA	15000	0					
D	H. G. JENKINS CONSTRUCTION INC	7212285	N	FT	1002894	7/1/2001	4/30/2011	365	N	20	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	WEST 2 POINTS AND POOLS			WEST POOLING AREA 2	20	0					
P	MQ	H.G.JENKINS CONSTR-ACCT	95	13042	WEST POOLING AREA 2	20	0	YI3/YK3				
D	HACKNEY LADISH INC	963550736	N	FT	1005186	8/23/2006	3/31/2007	365	N	750	0	
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	750	0					
P	MQ	HACKNEY LADISH ACCT	95	12720	NORTH POOLING AREA	750	0	YI3/YK3				
D	HALLIBURTON ENERGY SERVICES	43296920	N	FT	1007020	4/1/2009	3/31/2011	365	N	1000	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	WEST 2 POINTS AND POOLS			WEST POOLING AREA 2	1000	0					
P	MQ	HALLIBURTON ENERGY ACCT	95	11493	WEST POOLING AREA 2	1000	0	YI3/YK3				
D	HALLIBURTON ENERGY SERVICES	43296920	N	FT	1008305	10/1/2010	10/31/2018		N	80	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	80	0					
P	MQ	HALLIBURTON MALVERN ACC	95	14841	NORTH POOLING AREA	80	0	YI3/YK3				
D	HARDING UNIVERSITY	75661892	N	FT	1009081	12/1/2011	12/31/2012	365	N	400	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	400	0					
P	MQ	HARDING UNIVERSITY_ACCT	95	12910	NORTH POOLING AREA	400	0	YI3/YK3				
D	HARRAHS BOSSIER CITY INVESTMENT COMPANY LLC	78304690	N	FT	1007329	9/1/2009	3/31/2012	365	N	62	0	
A	ECOVA INC	N										
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	62	0	YM2				
P	M2	WASKOM PLANT TAILGATE	95	805228	SOUTH POOLING AREA	62	0					
P	MQ	HARRAHS LA DOWNS ACCT	95	14565	SOUTH POOLING AREA	62	0	YI3/YK3				
D	HEDGER BROTHERS JONESBORO CONCRETE PRODUCTS INC.	7018658	N	FT	1010403	1/1/2015	12/31/2018		N	16	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	16	0					
P	MQ	HEDGER BRO CONCRETE ACC	95	15802	NORTH POOLING AREA	16	0	YI3/YK3				
D	HEIFER PROJECT INTERNATIONAL	77399780	N	FT	1009495	8/1/2012	3/31/2016	365	N	26	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	26	0					
P	MQ	HEIFER PROJECT INT ACCT	95	15406	NORTH POOLING AREA	26	0	YI3/YK3				
D	HENDERSON STATE UNIVERSITY	67667196	N	FT	1008500	1/1/2011	3/31/2012	365	N	230	0	
A	"BERNHARD TME, LLC"	N										
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	230	0					
P	MQ	HENDERSON ST UNIV-ACCT	95	13162	SOUTH POOLING AREA	230	0	YI3/YK3				
D	HENDERSON STATE UNIVERSITY	67667196	N	FT	1009167	2/1/2012	3/31/2019		N	64	0	
A	"BERNHARD TME, LLC"	N										
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	64	0					
P	MQ	HENDERSON ST UNIV#2 ACC	95	15213	SOUTH POOLING AREA	64	0	YI3/YK3				
D	HENDERSON STATE UNIVERSITY	67667196	N	FT	1009462	7/1/2012	3/31/2016	365	N	15	0	
A	"BERNHARD TME, LLC"	N										
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	15	0					
P	MQ	HENDERSON EDU BLDG_ACCT	95	15374	SOUTH POOLING AREA	15	0	YI3/YK3				
D	HENDERSON STATE UNIVERSITY	67667196	N	FT	1010462	4/1/2015	3/31/2016	365	N	14	0	
A	"BERNHARD TME, LLC"	N										
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	14	0					
P	MQ	HENDERSON STATE EW ACCT	95	15382	SOUTH POOLING AREA	14	0	YI3/YK3				
D	HENDERSON STATE UNIVERSITY	67667196	N	FT	1010463	4/1/2015	3/31/2016	365	N	25	0	
A	"BERNHARD TME, LLC"	N										
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	25	0					
P	MQ	HENDER STATE SMITH ACCT	95	15383	SOUTH POOLING AREA	25	0	YI3/YK3				
D	HENDRIX COLLEGE	75635094	N	FT	1004320	4/1/2005	3/31/2016	365	N	175	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	175	0					
P	MQ	HENDRIX COLLEGE-ACCT_TB	95	13077	NORTH POOLING AREA	175	0	YI3/YK3				
D	HENDRIX COLLEGE - WELLNESS ATHLETIC CENTER	75635094	N	FT	1006329	6/1/2008	3/31/2012	365	N	55	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	55	0					
P	MQ	HENDRIX WELLNESS ACCT	95	13816	NORTH POOLING AREA	55	0	YI3/YK3				
D	HEXION INC	1338797	N	FT	1010418	2/1/2015	3/31/2017	365	N	105	0	
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	105	0					
P	MQ	HEXION INC ACCT	95	15046	SOUTH POOLING AREA	105	0	YI3/YK3				
D	HILAND DAIRY COMPANY	38873386	N	FT	1009010	11/10/2011	10/31/2012	365	N	55	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	55	0					
P	MQ	BLACK HILLS AR @ OM-1	95	808352	NORTH POOLING AREA	55	0					
D	HILAND DAIRY COMPANY	38873386	N	FT	1009022	11/10/2011	10/31/2012	365	N	45	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	45	0					
P	MQ	AOG @ ROLAND/MOFFETT	95	3093	NORTH POOLING AREA	45	0					
D	HIXSON LUMBER SALES INC	35617679	N	FT	1002717	12/1/2000	3/31/2002	365	N	85	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	85	0					
P	MQ	HIXSON LMBR@PLUMER ACCT	95	12619	NORTH POOLING AREA	85	0	YI3/YK3				
D	HIXSON LUMBER SALES INC	35617679	N	FT	1002718	12/1/2000	3/31/2015	365	N	350	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	350	0					
P	MQ	HIXSON LBR@RISON-ACCT	95	12617	SOUTH POOLING AREA	140	0	YI3/YK3				
P	MQ	HIXSON LBR@MAGNOLIA-ACC	95	12618	SOUTH POOLING AREA	60	0	YI3/YK3				
P	MQ	HIXSON LBR@MGNOLIA-2ACC	95	15722	SOUTH POOLING AREA	150	0	YI3/YK3				
D	HIXSON LUMBER SALES INC	35617679	N	FT	1002739	12/1/2000	3/31/2002	365	N	70	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	70	0					
P	MQ	HIXSON LMB@RUSVLE-ACCT	95	12850	NORTH POOLING AREA	70	0	YI3/YK3				
D	HIXSON LUMBER SALES INC	35617679	N	FT	1009698	4/1/2013	3/31/2014	365	N	75	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	75	0					
P	MQ	HIXSON LBR 2 PLU ACCT	95	15514	NORTH POOLING AREA	75	0	YI3/YK3				
D	HOLIDAY DRY CLEANING AND LAUNDRY INC	118648260	N	FT	1009879	8/1/2013	7/31/2018		N	15	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	15	0					
P	MQ	HOLIDAY DRY ACCT	95	15569	SOUTH POOLING AREA	15	0	YI3/YK3				
D	"HOLLOWELL INDUSTRIES, INC."	1934876	N	FT	1008805	5/1/2011	4/30/2019		N	120	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	120	0					
P	MQ	HOFFINGER INDUSTRIES AC	95	15056	NORTH POOLING AREA	120	0	YI3/YK3				
D	HONEYWELL INTERNATIONAL INC	139691877	N	FT	1007267	8/1/2009	4/30/2018		N	3500	0	
A	NUS CONSULTING GROUP	N										
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	3500	0					
P	MQ	UOP SHREVEPORT PLANT	95	801643	SOUTH POOLING AREA	3500	0					
D	HOOVER TREATED WOOD PRODUCTS INC	92915990	N	FT	1001204	11/1/1993	3/31/1998	365	N	180	0	
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	180	0					
P	MQ	HOOVER TREATED-ACCT@ PB	95	11465	NORTH POOLING AREA	180	0	YI3/YK3				
D	HORSESHOE ENTERTAINMENT DBA HORSESHOE BOSSIER CITY	825248073	N	FT	1007328	9/1/2009	3/31/2012	365	N	325	0	
A	ECOVA INC	N										
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	325	0	YM2				
P	M2	WASKOM PLANT TAILGATE	95	805228	SOUTH POOLING AREA	325	0					
P	MQ	HORSESHOE CASINO ACCT	95	14564	SOUTH POOLING AREA	325	0	YI3/YK3				
D	HOT SPRING COUNTY MEDICAL CENTER	18395074	N	FT	1008534	1/1/2011	3/31/2012	365	N	60	0	
A	"BERNHARD TME, LLC"	N										
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	60	0					
P	MQ	HOT SPRINGS CO MED-ACCT	95	12878	NORTH POOLING AREA	60	0	YI3/YK3				
D	HOT SPRINGS ADVERTISING AND PROMOTION COMMISSION	174169268	N	FT	1008480	1/1/2011	3/31/2012	365	N	220	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	220	0					
P	MQ	HOT SPRINGS CONVEN ACCT	95	14706	NORTH POOLING AREA	220	0	YI3/YK3				
D	HOT SPRINGS REHABILITATION CENTER	126377423	N	FT	1001130	11/1/1993	1/31/1996	365	N	353	0	
A	TME ENERGY SERVICES	N										
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	353	0					
P	MQ	HOT SPRINGS REHAB-ACCT	95	11337	NORTH POOLING AREA	353	0	YI3/YK3				
D	HOUSE OF RAEFORD FARMS OF LOUISIANA LLC	7610843	N	FT	1007316	9/1/2009	3/31/2012	365	N	403	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	403	0	YM2				
P	M2	WASKOM PLANT TAILGATE	95	805228	SOUTH POOLING AREA	403	0					
P	MQ	HOUSE OF RAEFORD FA ACC	95	14494	SOUTH POOLING AREA	403	0	YI3/YK3				
