H	"Texas Eastern Transmission, LP"	C000094	4/2/2018	O	4/1/2018	T	T	BERK DONALDSON 713-627-4488				
A	"MERCURIA ENERGY AMERICA, INC."	N										
P	MQ	"NATIONAL FUEL-HOLBROOK GREENE CO.,"	95	75720	2	35						
D	MIDDLEBOROUGH GAS AND ELECTRIC DEPARTMENT	40803467	N	SCT	800165-R1	8/1/1993	10/31/2012	365	N	119		
A	"MERCURIA ENERGY AMERICA, INC."	N										
P	M2	GULF SOUTH PIPELINE COMPANY- KOSCIU	95	70217	1	7						
P	MQ	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	119						
D	MIDDLEBOROUGH GAS AND ELECTRIC DEPARTMENT	40803467	N	FT-1	800298-R1	6/1/1993	10/31/2012	365	N	116		
A	"MERCURIA ENERGY AMERICA, INC."	N										
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	116						
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3	116						
P	M2	DTI - LEIDY STORAGE (D70931/R76931)	95	75931	3	116						
D	MIDWEST NATURAL GAS CORPORATION	7987464	N	FT-1	830036-R1	12/1/1996	10/31/1999	365	N	1000		X30
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	"MIDWEST NAT. - BROWNSTOWN, IN"	95	70582	2	384						
P	MQ	"MIDWEST NAT. -NORTH VERNON, IN"	95	70583	2	111						
P	MQ	"MIDWEST NAT. GAS - MEDORA, IN"	95	71170	2	505						
D	"MIDWEST NATURAL GAS CORPORATION FOR BROWNSTONE & MEDORA, INDIANA"	88908413	N	SCT	800044-R1	6/1/1993	10/31/2002	365	N	1823		X47
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	"MIDWEST NAT. - BROWNSTOWN, IN"	95	70582	2	1254						
P	MQ	"MIDWEST NAT. GAS - MEDORA, IN"	95	71170	2	683						
D	MIDWEST NATURAL GAS CORPORATION FOR NORTH VERNON	2760	N	SCT	800045-R1	9/1/1993	10/31/2002	365	N	4794		YA1/X47
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	"MIDWEST NAT. - BROWNSTOWN, IN"	95	70582	2	0						
P	MQ	"MIDWEST NAT. -NORTH VERNON, IN"	95	70583	2	4794						
P	MQ	"MIDWEST NAT. GAS - MEDORA, IN"	95	71170	2	0						
D	"MISSISSIPPI GAS CORPORATION FOR LEBLANC, LA"	5361	N	SCT	800046-R1	6/1/1993	10/31/2012	365	N	1459		YA1/X19
A	TENNESSEE ENERGY ACQUISITION CORP	N										
P	MQ	"MISSISSIPPI GAS - LEBLANC, LA"	95	71473	WLA	1459						
D	MISSISSIPPI GAS CORPORATION FOR REEVES	5360	N	SCT	800047-R1	6/1/1993	10/31/2012	365	N	239		YA1/X19
A	TENNESSEE ENERGY ACQUISITION CORP	N										
P	MQ	"MISSISSIPPI GAS CORP. - REEVES, LA"	95	71221	WLA	239						
D	"MORGANZA, LA, VILLAGE OF"	170156731	N	SCT	800049-R1	6/1/1993	10/31/2012	365	N	760		X19
A	BLACK BELT ENERGY GAS DISTRICT	N										
P	MQ	"MORGANZA, LA"	95	71425	ELA	760						
D	MT. CARMEL PUBLIC UTILITY COMPANY	6934871	N	SCT	800050-R1	6/1/1993	10/31/2012	365	N	5214		X5
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	"GRAYVILLE, IL"	95	70441	1	5214						
D	MUELLER COPPER TUBE CO INC	858476120	N	FT-1	910683-R2	7/1/2014	1/31/2020		N	1700		L62/X30
A	HORTON ENTERPRISES	N										
P	MQ	"ITAWAMBA GAS -ITAWAMBA CO., MS"	95	72664	1	1700						
D	"NAPOLEON, IN, TOWN OF"	2915	N	SCT	800051-R1	6/1/1993	10/31/2012	365	N	170		YA1/X47
A	UTILITY GAS MANAGEMENT	N										
P	MQ	"OSGOOD, IN"	95	71366	2	170						
D	"NATGASOLINE, LLC"	30528	N	FT-1	911397-R2	12/1/2017	7/31/2019		N	50000		YA1/L82
P	MQ	GOLDEN TRIANGLE STORAGE D73662/R736	95	75662	WLA	50000						
P	M2	MOSS BLUFF GAS STRG-CHAMBERS CO. TX	95	75773	STX	50000						
D	NATIONAL FUEL GAS DISTRIBUTION CORPORATION	6976666	N	FT-1	911316-R1	11/1/2016	10/31/2020		N	10000		
P	M2	"COL. GAS - MONTGOMERY CO., KY"	95	73195	2	7631						
P	M2	"REX LEBANON (REC), WARREN CO., OH"	95	73581	2	2369						
P	MQ	"NATIONAL FUEL-HOLBROOK GREENE CO.,"	95	75720	2	10000						
D	NATIONAL FUEL GAS DISTRIBUTION CORPORATION	6976666	N	FT-1	911318-R1	11/1/2016	10/31/2017	365	N	10000		
P	M2	"COL. GAS - MONTGOMERY CO., KY"	95	73195	2	10000						
P	MQ	"NATIONAL FUEL-HOLBROOK GREENE CO.,"	95	75720	2	10000						
D	NATIONAL GAS & OIL COOPERATIVE	1053560	N	FT-1	910945-R2	11/1/2014	10/31/2017	365	N	8300		L75
A	BP ENERGY COMPANY	N										
P	MQ	"NAT GAS & OIL - SOMERSET, OH"	95	70062	2	8000						
P	MQ	"NAT GAS - CALDWELL, OH"	95	70095	2	300						
P	M2	WILLIAMS OHIO VALLEY MIDSTREAM LLC.	95	73656	2	8300						
D	"NEW HARMONY, IN, TOWN OF"	183082635	N	SCT	800052-R1	6/1/1993	10/31/2012	365	N	897		X47
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	"NEW HARMONY, IL"	95	70478	1	897						
D	NEW JERSEY NATURAL GAS COMPANY	61843553	N	X-127	008696-R1	9/1/1992	5/31/2014	365	N	27000		M109
P	M2	"CARNEGIE NATURAL GAS - WAYNESBURG,"	95	75275	2	27000						
P	MQ	HEAD OF FREEHOLD LATERAL - MAINLINE	95	79037	3	27000						
P	M2	"CARNEGIE - WAYNESBURG, PA CUSTODY T"	95	79669	2	27000						
D	NEW JERSEY NATURAL GAS COMPANY	61843553	N	X-129	008697-R1	11/1/1986	10/31/2014	365	N	9498		M109
P	M2	DTI - LEIDY STORAGE (D70931/R76931)	95	75931	3	9498						
P	MQ	HEAD OF FREEHOLD LATERAL - MAINLINE	95	79037	3	9498						
D	NEW JERSEY NATURAL GAS COMPANY	61843553	N	FTS-2	330789-R4	4/1/2018	3/31/2019		N	10789		L4
P	M2	"NEW JERSEY NATURAL - HANOVER, NJ"	95	71076	3	10789						
P	MQ	"NEW JERSEY NATURAL - HANOVER, NJ"	95	71076	3	10789						
P	M2	"NEW JERSEY NATURAL - MONTVILLE, NJ"	95	71423	3	5190						
P	MQ	"NEW JERSEY NATURAL - MONTVILLE, NJ"	95	71423	3	5190						
P	M2	"EQUITRANS - CRAYNE, PA (D70009/R760"	95	75009	2	10789						
P	MQ	"EQUITRANS - CRAYNE, PA (D70009/R760"	95	75009	2	10789						
P	M2	HEAD OF FREEHOLD LATERAL - MAINLINE	95	79037	3	10789						
P	MQ	HEAD OF FREEHOLD LATERAL - MAINLINE	95	79037	3	10789						
P	M2	"EQUITABLE - CRAYNE, PA CUSTODY TRAN"	95	79668	2	10789						
P	MQ	"EQUITABLE - CRAYNE, PA CUSTODY TRAN"	95	79668	2	10789						
D	NEW JERSEY NATURAL GAS COMPANY	61843553	N	FTS-5	331500-R4	4/1/2018	3/31/2019		N	35000		L92
P	MQ	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	5000						
P	M2	DTI - N. SUMMIT STORAGE - FAYETTE C	95	75821	2	30000						
P	MQ	DTI - N. SUMMIT STORAGE - FAYETTE C	95	75821	2	30000						
P	MQ	DTI - LEIDY STORAGE (D70931/R76931)	95	75931	3	2778						
P	M2	HEAD OF FREEHOLD LATERAL - MAINLINE	95	79037	3	35000						
P	MQ	HEAD OF FREEHOLD LATERAL - MAINLINE	95	79037	3	35000						
P	M2	COMPRESSOR STATION 23  (CHAMBERSBUR	95	79923	3	5000						
P	MQ	COMPRESSOR STATION 23  (CHAMBERSBUR	95	79923	3	5000						
D	NEW JERSEY NATURAL GAS COMPANY	61843553	N	FTS-7	331724-R4	4/1/2018	3/31/2019		N	35487		L29
P	M2	"NEW JERSEY NATURAL - HANOVER, NJ"	95	71076	3	14533						
P	MQ	"NEW JERSEY NATURAL - HANOVER, NJ"	95	71076	3	14533						
P	M2	"NEW JERSEY NATURAL - MONTVILLE, NJ"	95	71423	3	5190						
P	MQ	"NEW JERSEY NATURAL - MONTVILLE, NJ"	95	71423	3	5190						
P	M2	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	35487						
P	MQ	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	35487						
P	M2	HEAD OF FREEHOLD LATERAL - MAINLINE	95	79037	3	35487						
P	MQ	HEAD OF FREEHOLD LATERAL - MAINLINE	95	79037	3	35487						
D	NEW JERSEY NATURAL GAS COMPANY	61843553	N	FTS-8	331821-R4	4/1/2018	3/31/2019		N	9555		L29
P	MQ	"DOMINION ENERGY TRANSMISSION, INC -"	95	70004	2	4999						
P	M2	"PEOPLES NAT - SOMERSET, PA"	95	70051	2	4999						
P	MQ	"PEOPLES NAT - SOMERSET, PA"	95	70051	2	4999						
P	MQ	"DOMINION ENERGY TRANSMISSION, INC -"	95	70372	2	4999						
P	MQ	"DOMINION ENERGY TRANSMISSION, INC -"	95	70450	2	4999						
P	MQ	DOMINION TRANSMISSION INC - WOODSFI	95	70471	2	4999						
P	MQ	DOMINION TRANSMISSION INC - POWHATA	95	70983	2	4999						
P	M2	"NEW JERSEY NATURAL - HANOVER, NJ"	95	71076	3	9555						
P	MQ	"NEW JERSEY NATURAL - HANOVER, NJ"	95	71076	3	9555						
P	M2	"NEW JERSEY NATURAL - MONTVILLE, NJ"	95	71423	3	5190						
P	MQ	"NEW JERSEY NATURAL - MONTVILLE, NJ"	95	71423	3	5190						
P	M2	"DTI - WAYNESBURG, PA(D 70037/R 7603"	95	75037	2	4999						
P	MQ	"DTI - WAYNESBURG, PA(D 70037/R 7603"	95	75037	2	4999						
P	M2	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	5002						
P	MQ	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	5002						
P	M2	DTI - LEIDY STORAGE (D70931/R76931)	95	75931	3	4553						
P	MQ	DTI - LEIDY STORAGE (D70931/R76931)	95	75931	3	4553						
P	M2	HEAD OF FREEHOLD LATERAL - MAINLINE	95	79037	3	9555						
P	MQ	HEAD OF FREEHOLD LATERAL - MAINLINE	95	79037	3	9555						
D	NEW JERSEY NATURAL GAS COMPANY	61843553	N	SS-1	400188-R3	11/1/2015	4/30/2017	365	N		3973146	L92
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3		1058					
P	MQ	"NEW JERSEY NATURAL - HANOVER, NJ"	95	71076	3		12637					
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3		1516					
P	MQ	"NEW JERSEY NATURAL - MONTVILLE, NJ"	95	71423	3		7447					
P	MQ	HEAD OF FREEHOLD LATERAL - MAINLINE	95	79037	3		63414					
P	M2	ZONE M3 STORAGE POINT	95	79513	3		20423	YN21				
D	NEW JERSEY NATURAL GAS COMPANY	61843553	N	SS	412004-R3	4/1/2018	4/30/2019		N		2180010	L4
P	MQ	"NEW JERSEY NATURAL - HANOVER, NJ"	95	71076	3		12457					
P	MQ	"NEW JERSEY NATURAL - MONTVILLE, NJ"	95	71423	3		10380					
P	MQ	HEAD OF FREEHOLD LATERAL - MAINLINE	95	79037	3		31143					
D	NEW JERSEY NATURAL GAS COMPANY	61843553	N	CDS	800506-R5	11/1/2015	10/31/2016	365	N	12000		L4
P	M2	GULF SOUTH PIPELINE COMPANY- KOSCIU	95	70217	1	334						
P	MQ	"NEW JERSEY NATURAL - HANOVER, NJ"	95	71076	3	1551						
P	MQ	"NEW JERSEY NATURAL - MONTVILLE, NJ"	95	71423	3	554						
P	M2	ENTERPRISE TEXAS PIPELINE LLC - MAT	95	72601	STX	782						
P	M2	"TEXAS GAS/FAYETVILLE, AR."	95	73577	1	1514						
P	MQ	HEAD OF FREEHOLD LATERAL - MAINLINE	95	79037	3	12000						
P	MQ	ZONE M3 STORAGE POINT	95	79513	3	12000						
P	MQ	SS/X-28 STORAGE POINT	95	79560	3	12000						
D	NEW JERSEY NATURAL GAS COMPANY	61843553	N	FT-1	910060-R4	4/1/2018	10/31/2018		N	40000		L26
A	NJR ENERGY SERVICES COMPANY	N										
P	M2	DTI - LEIDY STORAGE (D70931/R76931)	95	75931	3	5000						
P	MQ	HEAD OF FREEHOLD LATERAL - MAINLINE	95	79037	3	40000						
P	M2	COMPRESSOR STATION 23  (CHAMBERSBUR	95	79923	3	35000						
D	NEW JERSEY NATURAL GAS COMPANY	61843553	N	FT-1	910064-R4	4/1/2018	10/31/2018		N	1060		L26
P	MQ	"NEW JERSEY NATURAL - HANOVER, NJ"	95	71076	3	1060						
P	MQ	"NEW JERSEY NATURAL - MONTVILLE, NJ"	95	71423	3	1060						
P	M2	DTI - LEIDY STORAGE (D70931/R76931)	95	75931	3	1060						
P	MQ	HEAD OF FREEHOLD LATERAL - MAINLINE	95	79037	3	1060						
D	NEW JERSEY NATURAL GAS COMPANY	61843553	N	MLS-1FH	910185-R2	4/1/2008	10/31/2022		Y	591855		L42
P	MQ	"NEW JERSEY NATURAL - FREEHOLD, NJ"	95	70953	3	427730						
P	MQ	"NEW JERSEY NATURAL - JAMESBURG, NJ"	95	72210	3	213860						
P	M2	HEAD OF FREEHOLD LATERAL - MAINLINE	95	79037	3	591855						
D	NEW JERSEY NATURAL GAS COMPANY	61843553	N	FT-1TME	910230-R5	4/1/2018	10/31/2020		Y	60000		L42
A	NJR ENERGY SERVICES COMPANY	N										
P	MQ	"NATIONAL GRID METRO NY, GOETHALS RD"	95	70058	3	60000						
P	M2	TEXAS GAS TRANSMISSION LLC - LEBANO	95	70215	2	12000						
P	M2	"TENN. GAS P/L - CASEY CO., KY"	95	73198	2	18000						
P	MQ	HEAD OF FREEHOLD LATERAL - MAINLINE	95	79037	3	60000						
P	M2	ANR/TETCO (LEBANON LATERAL-ANR CAPA	95	79941	2	30000						
P	M2	TETCO LEBANON LATERAL TAKEAWAY POIN	95	79951	2	42000						
D	NEW JERSEY NATURAL GAS COMPANY	61843553	N	FT-1	910240-R6	4/1/2018	10/31/2020		N	19790		L42
A	NJR ENERGY SERVICES COMPANY	N										
P	MQ	"NATIONAL GRID METRO NY, GOETHALS RD"	95	70058	3	1731						
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	2247						
P	M2	GULF SOUTH PIPELINE COMPANY- KOSCIU	95	70217	1	924						
P	MQ	"NEW JERSEY NATURAL - HANOVER, NJ"	95	71076	3	13463						
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3	1575						
P	M2	"CHEVRON - VENICE, LA"	95	71200	ELA	488						
P	MQ	"NEW JERSEY NATURAL - MONTVILLE, NJ"	95	71423	3	8206						
P	M2	"COLUMBIA GULF - ST. LANDRY PSH., LA"	95	71750	WLA	727						
P	M2	"NORAM - BALD KNOB - WHITE, AR"	95	72499	1	14421						
P	M2	ENTERPRISE TEXAS PIPELINE LLC - MAT	95	72601	STX	2165						
P	MQ	HEAD OF FREEHOLD LATERAL - MAINLINE	95	79037	3	19790						
P	MQ	ZONE M3 STORAGE POINT	95	79513	3	19790						
P	MQ	SS/X-28 STORAGE POINT	95	79560	3	19790						
D	NEW JERSEY NATURAL GAS COMPANY	61843553	N	FT-1	910508-R5	4/1/2018	10/31/2018		N	20000		L41
P	M2	"NORAM - BALD KNOB - WHITE, AR"	95	72499	1	5000						
P	M2	"TEXAS GAS/FAYETVILLE, AR."	95	73577	1	5000						
P	MQ	HEAD OF FREEHOLD LATERAL - MAINLINE	95	79037	3	20000						
D	NEW JERSEY NATURAL GAS COMPANY	61843553	N	CDS	910593-R4	11/1/2015	10/31/2016	365	N	10559		L17
A	NJR ENERGY SERVICES COMPANY	N										
P	MQ	"NATIONAL GRID METRO NY, GOETHALS RD"	95	70058	3	10559						
P	M2	"TEXAS GAS/FAYETVILLE, AR."	95	73577	1	10559						
P	MQ	HEAD OF FREEHOLD LATERAL - MAINLINE	95	79037	3	10559						
D	NEW JERSEY NATURAL GAS COMPANY	61843553	N	FT1TME2	910610-R3	4/1/2018	10/31/2023		Y	100000		L93
P	M2	TEXAS GAS TRANSMISSION LLC - LEBANO	95	70215	2	40000						
P	MQ	HEAD OF FREEHOLD LATERAL - MAINLINE	95	79037	3	100000						
P	M2	ANR/TETCO (LEBANON LATERAL-ANR CAPA	95	79941	2	25000						
P	M2	TETCO LEBANON LATERAL TAKEAWAY POIN	95	79951	2	35000						
D	"NEW ROADS, LOUISIANA TOWN OF"	2968	N	SCT	800053-R1	6/1/1993	10/31/2012	365	N	2400		YA1/X19
A	BLACK BELT ENERGY GAS DISTRICT	N										
P	MQ	"NEW ROADS, LA"	95	71424	ELA	2400						
D	"NEXTERA ENERGY MARKETING, LLC"	54481341	N	FT-1MX	911110-R1	4/1/2014	3/31/2016	365	N	15125		
P	MQ	"WILLIAMS-TRANSCO, LOWER CHANCEFORD-"	95	73703	3	15125						
P	M2	MARIETTA EXTENSION H/L	95	79965	3	15125						
D	NJR ENERGY SERVICES COMPANY	25715165	N	SS-1	400253-R1	4/1/2016	10/31/2020		N		321970	
P	MQ	"EAST TENN GAS - HARTSVILLE, TN"	95	71299	1		5367					
P	M2	ZONE M1 STORAGE POINT	95	79511	1		1656	YN21				
D	NJR ENERGY SERVICES COMPANY	25715165	N	SS-1	400254-R1	5/1/2016	10/31/2020		N		300000	
P	MQ	"EAST TENN GAS - HARTSVILLE, TN"	95	71299	1		4434					
P	M2	ZONE M1 STORAGE POINT	95	79511	1		1974	YN21				
D	NJR ENERGY SERVICES COMPANY	25715165	N	SS-1	400255-R1	4/1/2016	10/31/2020		N		267571	
P	MQ	"EAST TENN GAS - HARTSVILLE, TN"	95	71299	1		3955					
P	M2	ZONE M1 STORAGE POINT	95	79511	1		1761	YN21				
D	NJR ENERGY SERVICES COMPANY	25715165	N	SS-1	400256-R1	4/3/2016	4/30/2023		N		399192	
P	MQ	"EAST TENN GAS - HARTSVILLE, TN"	95	71299	1		3380					
P	M2	ZONE M1 STORAGE POINT	95	79511	1		2052	YN21				
D	NJR ENERGY SERVICES COMPANY	25715165	N	SS-1	400257-R1	5/1/2017	4/30/2028		N		100111	
P	MQ	"EAST TENN GAS - HARTSVILLE, TN"	95	71299	1		1257					
P	M2	ZONE M1 STORAGE POINT	95	79511	1		515	YN21				
D	NJR ENERGY SERVICES COMPANY	25715165	N	FT-1	910530-R1	4/1/2005	3/31/2007	365	N	11000		X55
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3	11000						
P	MQ	MARIETTA CUSTODY TRANSFER POINT	95	79660	3	11000						
D	NJR ENERGY SERVICES COMPANY	25715165	N	FT-1	910531-R3	8/1/2011	3/31/2013	365	N	89000		L54
P	MQ	"PUBLIC SERVICE - LINDEN, NJ"	95	70128	3	66866						
P	M2	TEXAS GAS TRANSMISSION LLC - LEBANO	95	70215	2	8000						
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3	22134						
P	M2	"NORAM - BALD KNOB - WHITE, AR"	95	72499	1	500						
P	MQ	MARIETTA CUSTODY TRANSFER POINT	95	79660	3	40000						
P	M2	ANR/TETCO (LEBANON LATERAL-ANR CAPA	95	79941	2	10000						
D	NJR ENERGY SERVICES COMPANY	25715165	N	FT-1MX	911065-R1	4/1/2014	3/31/2015	365	N	40000		
P	MQ	"WILLIAMS-TRANSCO, LOWER CHANCEFORD-"	95	73703	3	40000						
P	M2	MARIETTA EXTENSION H/L	95	79965	3	40000						
D	NJR ENERGY SERVICES COMPANY	25715165	N	FT-1	911121-R1	12/20/2013	12/31/2023		N	3500		
P	MQ	"NATIONAL GRID METRO NY, GOETHALS RD"	95	70058	3	3500						
P	M2	DTI - LEIDY STORAGE (D70931/R76931)	95	75931	3	3500						
D	NJR ENERGY SERVICES COMPANY	25715165	N	FT-1	911158-R1	11/1/2014	3/31/2022		N	15003		
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	2						
P	MQ	UGI CENTRAL - SHIPPENSBURG - OXFORD	95	70096	3	657						
P	MQ	UGI CENTRAL - POTTSVILLE GAS - BERK	95	70309	3	4666						
P	MQ	UGI CENTRAL - COUNTIES GAS CO. - MI	95	70463	3	3						
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3	1						
P	MQ	UGI CENTRAL - INTERBORO GAS - BELLV	95	71143	3	1165						
P	MQ	"UGI CENTRAL - TWIN GAS - BEDFORD, P"	95	71144	3	764						
P	MQ	UGI CENTRAL - DAUPHIN CO. GAS - ANN	95	71438	3	309						
P	MQ	UGI CENTRAL - PENN FUEL - MCCONNELL	95	73157	3	7436						
P	M2	"ATMOS ENERGY, TN (B/D 73025)"	95	76025	1	15003						
D	NJR ENERGY SERVICES COMPANY	25715165	N	FT-1NC	911296-R1	10/1/2015	10/31/2017	365	N	30000		
P	MQ	"DOMINION ENERGY TRANSMISSION, INC -"	95	71745	3	30000						
P	M2	DTI - CRAYNE REC- (REC72868/DEL7686	95	75868	2	30000						
D	NJR ENERGY SERVICES COMPANY	25715165	N	FT-1	911426-R1	4/1/2018	10/31/2020		N	40000		
P	MQ	"NATIONAL GRID METRO NY, GOETHALS RD"	95	70058	3	3499						
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	2402						
P	M2	GULF SOUTH PIPELINE COMPANY- KOSCIU	95	70217	1	1868						
P	MQ	"NEW JERSEY NATURAL - HANOVER, NJ"	95	71076	3	4709						
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3	1201						
P	M2	"CHEVRON - VENICE, LA"	95	71200	ELA	987						
P	MQ	"NEW JERSEY NATURAL - MONTVILLE, NJ"	95	71423	3	1620						
P	M2	"COLUMBIA GULF - ST. LANDRY PSH., LA"	95	71750	WLA	1469						
P	M2	"NORAM - BALD KNOB - WHITE, AR"	95	72499	1	29148						
P	M2	ENTERPRISE TEXAS PIPELINE LLC - MAT	95	72601	STX	4377						
P	MQ	HEAD OF FREEHOLD LATERAL - MAINLINE	95	79037	3	26569						
P	MQ	ZONE M3 STORAGE POINT	95	79513	3	633						
P	MQ	SS/X-28 STORAGE POINT	95	79560	3	11353						
D	NJR ENERGY SERVICES COMPANY	25715165	N	FT-1TME	911427-R1	4/1/2018	10/31/2020		N	40000		
P	MQ	"NATIONAL GRID METRO NY, GOETHALS RD"	95	70058	3	40000						
P	M2	TEXAS GAS TRANSMISSION LLC - LEBANO	95	70215	2	8000						
P	M2	"TENN. GAS P/L - CASEY CO., KY"	95	73198	2	12000						
P	MQ	HEAD OF FREEHOLD LATERAL - MAINLINE	95	79037	3	40000						
P	M2	ANR/TETCO (LEBANON LATERAL-ANR CAPA	95	79941	2	20000						
P	M2	TETCO LEBANON LATERAL TAKEAWAY POIN	95	79951	2	28000						
D	NJR ENERGY SERVICES COMPANY	25715165	N	FT1TME3	911437-R1	10/1/2017	10/31/2023		Y	30000		
P	MQ	"WILLIAMS-TRANSCO, LOWER CHANCEFORD-"	95	73703	3	30000						
P	M2	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	30000						
D	NJR ENERGY SERVICES COMPANY	25715165	N	FT-1	911491-R1	4/1/2018	3/31/2019		Y	30000		
P	M2	"DOMINION ENERGY TRANSMISSION, INC -"	95	73678	3	30000						
P	MQ	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	29000						
P	MQ	DTI - N. SUMMIT STORAGE - FAYETTE C	95	75821	2	1000						
D	"NORRIS CITY, IL, VILLAGE OF"	109239814	N	SCT	800054-R1	6/1/1993	10/31/2012	365	N	1263		X5
A	UTILITY GAS MANAGEMENT	N										
P	MQ	"NORRIS CITY, IL"	95	70092	1	1263						
D	NORTH ALABAMA GAS DISTRICT	61141453	N	FT-1	911173-R1	11/1/2014	10/31/2019		N	1500		
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	AMERICAN MIDSTREAM -TENN INTRASTATE	95	72566	1	1500						
P	M2	BOBCAT STORAGE - (D73553/R73554)	95	75553	ELA	1500						
D	"NORTHEAST ENERGY ASSOCIATES, A LIMITED PARTNERSHIP"	783900152	N	FT-1	910999-R1	3/1/2013	3/31/2015	365	N	14000		
A	"NEXTERA ENERGY MARKETING, LLC"	N										
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	14000						
P	MQ	"PUBLIC SERVICE - WANAQUE, NJ"	95	71209	3	14000						
P	M2	COMPRESSOR STATION 23  (CHAMBERSBUR	95	79923	3	14000						
D	NORTHEAST MISSISSIPPI NATURALGAS DISTRICT	26313	N	SCT	800042-R1	2/1/1995	10/31/2012	365	N	913		YA1/L4/X5
A	HORTON ENTERPRISES	N										
P	MQ	"MANTACHIE GAS DIST -FULTON, MS"	95	71426	1	913						
D	NORTHERN INDIANA PUBLIC SERVICE COMPANY	6937585	N	FT-1	910693-R3	7/1/2017	3/31/2020		N	15000		L63/X61
P	MQ	MOSS BLUFF GAS STRG-CHAMBERS CO. TX	95	75773	STX	15000						
D	"NORTHERN UTILITIES, INC."	49286305	N	FT-1	800384-R2	2/1/2008	10/31/2017	365	N	965		L7
A	"EMERA ENERGY SERVICES, INC."	N										
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	965						
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3	9						
P	M2	DTI - LEIDY STORAGE (D70931/R76931)	95	75931	3	965						
D	"NORWICH, CITY OF, CONNECTICUT, BOARD OF PUBLIC UTILITIES COMMISSIONERS"	60677747	N	FTS-7	331703-R1	6/1/1993	4/15/2013	365	N	583		
A	"DIRECT ENERGY BUSINESS MARKETING,LLC"	N										
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	583						
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	583						
P	M2	"ALGONQUIN - HANOVER, NJ"	95	71078	3	583						
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3	583						
P	M2	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	583						
P	MQ	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	583						
D	"NORWICH, CITY OF, CONNECTICUT, BOARD OF PUBLIC UTILITIES COMMISSIONERS"	60677747	N	SS-1	400159-R1	6/1/1993	4/30/2012	365	N		50903	
A	"DIRECT ENERGY BUSINESS MARKETING,LLC"	N										
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3		431					
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3		431					
P	M2	ZONE M3 STORAGE POINT	95	79513	3		262	YN21				
P	MQ	"AGT - NORWICH, CT. FOR NOMINATIONS"	95	79830	3		0					
D	"NORWICH, CITY OF, CONNECTICUT, BOARD OF PUBLIC UTILITIES COMMISSIONERS"	60677747	N	SS-1	400160-R1	6/1/1993	4/30/2013	365	N		17220	
A	"DIRECT ENERGY BUSINESS MARKETING,LLC"	N										
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3		246					
P	M2	ZONE M3 STORAGE POINT	95	79513	3		89	YN21				
P	MQ	"AGT - NORWICH, CT. FOR NOMINATIONS"	95	79830	3		0					
D	"NORWICH, CITY OF, CONNECTICUT, BOARD OF PUBLIC UTILITIES COMMISSIONERS"	60677747	N	SS-1	400161-R1	6/1/1993	4/30/2012	365	N		54720	
A	"DIRECT ENERGY BUSINESS MARKETING,LLC"	N										
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3		392					
