H	SOUTHERN NATURAL GAS COMPANY L.L.C.	C000021	4/2/2018	O	4/1/2018	T	T	Sherry Noack 713-420-3764				
P	M2	TRUNKLNE/SNG SHADYSIDE ST MARY	95	502710	Zone 0	63	0					
D	OWENS CORNING	1317452	N	FT	452278-MFTSNG-452280	1/12/1996	8/31/2016	365	N	204	0	
A	"INTERCONN RESOURCES, LLC"	N										
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	102	0					
P	MQ	OWENS CO/SNG FIBERGLAS CHATHAM	95	935900	Zone 3	204	0					
P	M2	SLNG/SNG   CHATHAM	95	660000	Zone 3	102	0					
D	OWENS CORNING - AIKEN	3796	N	FT	452283-MFTSNG-452284	11/1/2006	8/31/2016	365	N	1667	0	
A	"INFINITE ENERGY, INC."	N										
P	M2	COL GULF/SNG SHADYSIDE ST MARY	95	605500	Zone 0	64	0					
P	MQ	DCGT/SNG  AIKEN	95	783600	Zone 3	1667	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	1538	0					
P	M2	SEA ROBN/SNG ERATH VERMILION	95	605300	Zone 0	65	0					
D	PACKAGING CORP. OF AMERICA	41011792	N	FT	452288-MFTSNG-452289	10/1/2005	8/31/2016	365	N	618	0	
A	"INTERCONN RESOURCES, LLC"	N										
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	310	0					
P	MQ	PKG CORP/SNG   LOWNDES	95	960510	Zone 3	618	0					
P	M2	SLNG/SNG   CHATHAM	95	660000	Zone 3	308	0					
D	PACKAGING CORP. OF AMERICA	41011792	N	FT	452288-MFTSNG-452290	12/21/2013	12/31/2018	365	N	1429	0	
A	"INTERCONN RESOURCES, LLC"	N										
P	M2	DESTIN/SNG ENTERPRISE CLARKE	95	605900	Zone 1	1429	0					
P	MQ	PKG CORP/SNG   LOWNDES	95	960510	Zone 3	1429	0					
D	"PCS NITROGEN FERTILIZER, L.P."	858404015	N	FT	452296-MFTSNG-452299	10/1/2005	8/31/2018	365	N	4084	0	
P	M2	DESTIN/SNG ENTERPRISE CLARKE	95	605900	Zone 1	2042	0					
P	MQ	PCS/SNG WHITE SPRINGS NEW HAMILTON	95	960540	Zone 3	4084	0					
P	M2	SLNG/SNG   CHATHAM	95	660000	Zone 3	2042	0					
D	"PCS NITROGEN FERTILIZER, L.P."	858404015	N	FT	452296-MFTSNG-452300	9/1/2013	8/31/2018	365	N	73366	0	
P	M2	DESTIN/SNG ENTERPRISE CLARKE	95	605900	Zone 1	441	0					
P	M2	GULFSTH/SNG SESH RICHLAND	95	606500	Zone 1	10557	0					
P	MQ	PCS/SNG   RICHMOND	95	932400	Zone 3	73366	0					
P	M2	SABPL/SNG SABINE VERMILION	95	605200	Zone 0	16540	0					
P	M2	TGP/SNG ROSE HILL MISS CLARKE	95	420546	Zone 1	5685	0					
P	M2	TGP/SNG TOCA EXCHANGE ST BERNARD	95	420556	Zone 0	4693	0					
P	M2	TRUNKLNE/SNG SHADYSIDE ST MARY	95	502710	Zone 0	35450	0					
D	"PCS NITROGEN FERTILIZER, L.P."	858404015	N	FT	460694-MFTESNG-460701	12/1/2016	11/30/2026		Y	6637	0	n1
P	MQ	PCS/SNG   RICHMOND	95	932400	Zone 3	6637	0					
P	M2	TRNSCO/EEC Z5 ANDERSON	95	938610	Zone 3	6637	0					
D	"PELHAM, CITY OF"	21337225	N	FT	452305-MFTSNG-452308	10/1/2005	8/31/2016	365	N	146	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	M2	ANR/SNG SHADYSIDE SAINT MARY	95	604000	Zone 0	146	0					
P	MQ	CAMILLA/SNG   MITCHELL	95	960090	Zone 3	100	0					
P	MQ	PELHAM/SNG   MITCHELL	95	960290	Zone 3	46	0					
D	"PEOPLES GAS SYSTEM, INC."	6922736	N	FT	452318-MFTSNG-452320	10/1/2005	4/30/2024		N	35992	0	n1
P	M2	COL GULF/SNG SHADYSIDE ST MARY	95	605500	Zone 0	4173	0					
P	M2	EGT/SNG SESH RICHLAND	95	606400	Zone 1	2295	0					
P	M2	ENTPROC/SNG BURNS POINT ST MARY	95	607200	Zone 0	3331	0					
P	M2	ETC FS/SNG UDP LOGANSPORT METER STA	95	650075	Zone 0	10391	0					
P	M2	ETC FS/SNG UDP SPIDER METER STATION	95	650070	Zone 0	2671	0					
P	M2	GULFSTH/SNG SESH RICHLAND	95	606500	Zone 1	3958	0					
P	M2	PELICO/SNG   BIENVILLE	95	601500	Zone 0	1190	0					
P	M2	PELICO/SNG PERRYVILLE-PANENERGY LA	95	651340	Zone 1	3810	0					
P	MQ	PEOPLES/SNG JACKSONVILLE NASSAU	95	960530	Zone 3	35992	0					
P	M2	TRUNKLNE/SNG SHADYSIDE ST MARY	95	502710	Zone 0	4173	0					
D	"PEOPLES GAS SYSTEM, INC."	6922736	N	FT	452318-MFTSNG-452321	7/1/2014	6/30/2024		Y	7147	0	n1
P	M2	FGT/SNG   SUWANNEE	95	600258	Zone 3	7147	0					
P	MQ	PEOPLES/SNG JACKSONVILLE NASSAU	95	960530	Zone 3	7147	0					
D	"PEOPLES GAS SYSTEM, INC."	6922736	N	FT	460713-MFTESNG-460715	6/1/2017	11/30/2036		Y	50000	0	n1
P	MQ	PEOPLES/SNG TRUMBOWER NASSAU	95	937600	Zone 3	32000	0					
P	MQ	SEACOAST/SNG CYPRESS CLAY	95	606350	Zone 3	18000	0					
P	M2	TRNSCO/EEC Z4 HART	95	938510	Zone 3	37500	0					
P	M2	TRNSCO/EEC Z5 ANDERSON	95	938610	Zone 3	12500	0					
D	"PERRY, CITY OF"	80940869	N	FT	452325-MFTSNG-452329	1/1/2010	8/31/2016	365	N	752	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	M2	AMP/SNG UDP CARTHAGE LATERAL DESOTO	95	650090	Zone 0	472	0					
P	M2	EGT/SNG SESH RICHLAND	95	606400	Zone 1	112	0					
P	M2	ENERGYQU/SNG UDP BAYOU SALE #1-TEXA	95	630000	Zone 0	63	0					
P	M2	ETC TIG/SNG SESH RICHLAND	95	606700	Zone 1	96	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	9	0					
P	MQ	PERRY/SNG   BIBB	95	915003	Zone 3	446	0					
P	MQ	PERRY/SNG PERRY #2 BLECKLEY	95	915203	Zone 3	306	0					
D	PICKENS COUNTY GAS DISTRICT	614668234	N	FT	452341-MFTSSNG-452346	11/1/1993	8/31/2016	365	N	835	0	
A	SEGAS ASSOCIATION	N										
P	M2	GULFSTH/SNG SESH RICHLAND	95	606500	Zone 1	590	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	241	0					
P	MQ	PICKENS/SNG   PICKENS	95	819000	Zone 2	835	0					
P	M2	SOUTHXPL/SNG UDP UDP WHITE OAK # 1	95	353920	Zone 2	4	0					
D	"PIEDMONT, CITY OF"	195117577	N	FT	452351-MFTSNG-452355	11/1/1996	8/31/2016	365	N	511	0	
A	SEGAS ASSOCIATION	N										
P	M2	AMP/SNG UDP CARTHAGE LATERAL DESOTO	95	650090	Zone 0	511	0					
P	MQ	PIEDMONT/SNG   CALHOUN	95	846400	Zone 2	511	0					
D	"PIEDMONT, CITY OF"	195117577	N	FT	452350-MFTSSNG-452356	11/1/1996	8/31/2016	365	N	976	0	
A	SEGAS ASSOCIATION	N										
P	M2	EGT/SNG SESH RICHLAND	95	606400	Zone 1	63	0					
P	M2	ETC FS/SNG UDP LOGANSPORT METER STA	95	650075	Zone 0	9	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	844	0					
P	MQ	PIEDMONT/SNG   CALHOUN	95	846400	Zone 2	976	0					
P	M2	TRUNKLNE/SNG SHADYSIDE ST MARY	95	502710	Zone 0	60	0					
D	PILGRIMS PRIDE INC.	7334170	N	FT	452360-MFTSNG-452361	9/5/2012	8/31/2017	365	N	613	0	
A	CONOCOPHILLIPS COMPANY	N										
P	M2	DESTIN/SNG ENTERPRISE CLARKE	95	605900	Zone 1	613	0					
P	MQ	PILGRIMS/SNG   SUWANNEE	95	960440	Zone 3	613	0					
D	"QUINCY, CITY OF"	93596070	N	FT	452382-MFTSNG-452385	10/1/2005	8/31/2016	365	N	453	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	M2	EGT/SNG SESH RICHLAND	95	606400	Zone 1	293	0					
P	M2	ETC TIG/SNG SESH RICHLAND	95	606700	Zone 1	160	0					
P	MQ	QUINCY/SNG   GADSDEN	95	960300	Zone 3	453	0					
D	"QUITMAN, CITY OF"	33449109	N	FT	452391-MFTSNG-452394	1/1/2010	8/31/2016	365	N	162	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	M2	EGT/SNG SESH RICHLAND	95	606400	Zone 1	100	0					
P	M2	ETC TIG/SNG SESH RICHLAND	95	606700	Zone 1	62	0					
P	MQ	QUITMAN/SNG   BROOKS	95	960310	Zone 3	162	0					
D	"RALEIGH, TOWN OF"	4451878	N	FT	452410-MFTSNG-452411	7/1/1998	8/31/2016	365	N	51	0	
A	"INTERCONN RESOURCES, LLC"	N										
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	51	0					
P	MQ	RALEIGH/SNG   SMITH	95	740800	Zone 1	51	0					
D	RAYONIER PERFORMANCE FIBERS LLC	142199368	N	FT	460693-MFTESNG-460698	12/1/2016	11/30/2026		Y	12763	0	n1
A	TEXICAN NATURAL GAS COMPANY	N										
P	MQ	AGL/SNG BRUNSWICK LINE AREA GLYNN	95	940041	Zone 3	12763	0					
P	M2	TRNSCO/EEC Z4 HART	95	938510	Zone 3	6381	0					
P	M2	TRNSCO/EEC Z5 ANDERSON	95	938610	Zone 3	6382	0					
D	"REMELT SOURCES, INCORPORATED"	78348154	N	FT	452419-MFTSNG-452420	11/1/2006	8/31/2016	365	N	20	0	
A	"SCANA ENERGY MARKETING, INC."	N										
P	MQ	DCGT/SNG  AIKEN	95	783600	Zone 3	20	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	20	0					
D	"RICHLAND, CITY OF"	27044148	N	FT	452424-MFTSNG-452427	9/1/2013	8/31/2016	365	N	41	0	
A	CITY SERVICES	N										
P	M2	GULFSTH/SNG SHADYSIDE ST MARY	95	630300	Zone 0	41	0					
P	MQ	RICHLAND/SNG   STEWART	95	960320	Zone 3	41	0					
D	"SCANA ENERGY MARKETING, INC."	605647775	N	FT	452454-MFTSNG-452471	6/1/1996	8/31/2017	365	N	4084	0	
P	MQ	AGL/SNG SAVANNAH NORTH AREA CHATHAM	95	940049	Zone 3	60	0					
P	MQ	DCGT/SNG  AIKEN	95	783600	Zone 3	4024	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	4084	0					
D	"SCANA ENERGY MARKETING, INC."	605647775	N	FT	452454-MFTSNG-452472	8/1/2004	4/30/2019	365	Y	95000	0	
P	MQ	DCGT/SNG PORT WENTWORTH CHATHAM	95	936500	Zone 3	95000	0					
P	M2	DESTIN/SNG ENTERPRISE CLARKE	95	605900	Zone 1	28874	0					
P	M2	TGP/SNG ROSE HILL MISS CLARKE	95	420546	Zone 1	66126	0					
D	"SCANA ENERGY MARKETING, INC."	605647775	N	FT	452454-MFTSNG-461929	9/1/2016	8/31/2018	365	N	6002	0	
P	MQ	FIBRANT/SNG  RICHMOND	95	932900	Zone 3	6002	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	6002	0					
D	"SCOTTSBORO, CITY OF"	137348637	N	FT	452622-MFTSNG-457383	3/1/2016	8/31/2017	365	N	1983	0	
A	SEGAS ASSOCIATION	N										
P	M2	EGT/SNG SESH RICHLAND	95	606400	Zone 1	366	0					
P	M2	ETC FS/SNG UDP LOGANSPORT METER STA	95	650075	Zone 0	121	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	1487	0					
P	MQ	SCOTTSBO/SNG   ETOWAH	95	842600	Zone 2	1983	0					
P	M2	SOUTHXPL/SNG UDP UDP WHITE OAK # 1	95	353920	Zone 2	9	0					
D	SHAW INDUSTRIES INC.	45840055	N	FT	452649-MFTSNG-452650	1/1/2010	8/31/2016	365	N	51	0	
A	"SCANA ENERGY MARKETING, INC."	N										
P	MQ	DCGT/SNG  AIKEN	95	783600	Zone 3	51	0					
P	M2	SEA ROBN/SNG ERATH VERMILION	95	605300	Zone 0	51	0					
D	"SHELL ENERGY NORTH AMERICA (US), L.P."	837565548	N	FT	461601-MFTSNG-461627	8/1/2016	4/30/2027		Y	10595	0	n1
P	MQ	CAMILLA/SNG CAMILLA #2 MITCHELL	95	960091	Zone 3	9001	0					
P	MQ	MOULTRIE/SNG AREA COLQUITT	95	960260	Zone 3	797	0					
P	M2	SLNG/SNG   CHATHAM	95	660000	Zone 3	10595	0					
P	MQ	THMASVIL/SNG   THOMAS	95	960360	Zone 3	797	0					
D	"SHELL ENERGY NORTH AMERICA (US), L.P."	837565548	N	FT	461600-MFTSNG-461628	8/1/2016	4/30/2028		Y	116000	0	n1
P	MQ	FGT/SNG JACKSONVILLE CLAY	95	606300	Zone 3	116000	0					
P	M2	SLNG/SNG   CHATHAM	95	660000	Zone 3	116000	0					
D	"SHELL ENERGY NORTH AMERICA (US), L.P."	837565548	N	FT	461600-MFTSNG-461629	8/1/2016	4/30/2027		Y	108649	0	n1
P	MQ	FGT/SNG JACKSONVILLE CLAY	95	606300	Zone 3	108649	0					
P	M2	SLNG/SNG   CHATHAM	95	660000	Zone 3	108649	0					
D	"SHELL ENERGY NORTH AMERICA (US), L.P."	837565548	N	FT	452652-MFTSNG-465550	10/1/2017	4/30/2018		N	40000	0	n1
P	MQ	DCGT/SNG PORT WENTWORTH CHATHAM	95	936500	Zone 3	40000	0					
P	M2	MIDCONTINENT-SMITH CTY TO SNG	95	44449	Zone 1	40000	0					
D	"SHELL ENERGY NORTH AMERICA (US), L.P."	837565548	N	FT	452652-MFTSNG-465551	10/1/2017	4/30/2018		N	56700	0	n1
P	MQ	EEC/SNG WRENS SNG TO EEC JEFFERSON	95	606380	Zone 3	56700	0					
P	M2	SLNG/SNG   CHATHAM	95	660000	Zone 3	56700	0					
D	"SHELL ENERGY NORTH AMERICA (US), L.P."	837565548	N	FT	452652-MFTSNG-465552	10/1/2017	4/30/2018		N	10000	0	n1
P	M2	FGT/SNG   SUWANNEE	95	600258	Zone 3	10000	0					
P	MQ	SOWEGA/SNG   MITCHELL	95	960600	Zone 3	10000	0					
D	"SHELLMAN, CITY OF"	171162142	N	FT	452672-MFTSNG-452675	9/1/2013	8/31/2016	365	N	51	0	
A	CITY SERVICES	N										
P	MQ	SHELLMAN/SNG   RANDOLPH	95	960330	Zone 3	51	0					
P	M2	WHISKEY/SNG UDP LAKE LAROSE IBERIA	95	631900	Zone 0	51	0					
D	SOUTH CAROLINA DEPARTMENT OF CORRECTIONS	7074	N	FT	452690-MFTSNG-452691	11/1/2006	8/31/2016	365	N	142	0	
A	"SCANA ENERGY MARKETING, INC."	N										
P	MQ	DCGT/SNG  AIKEN	95	783600	Zone 3	142	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	142	0					
D	SOUTH CAROLINA ELECTRIC & GAS COMPANY	7919517	N	FT	452611-MFTSNG-452615	2/1/2005	8/31/2018	365	N	51050	0	
P	MQ	DCGT/SNG  AIKEN	95	783600	Zone 3	51050	0					
P	M2	DESTIN/SNG ENTERPRISE CLARKE	95	605900	Zone 1	15516	0					
P	M2	TGP/SNG ROSE HILL MISS CLARKE	95	420546	Zone 1	35534	0					
D	SOUTH CAROLINA ELECTRIC & GAS COMPANY	7919517	N	FT	452611-MFTSNG-452616	9/1/2009	8/31/2018	365	N	44078	0	
P	M2	ANR/SNG SHADYSIDE SAINT MARY	95	604000	Zone 0	6759	0					
P	MQ	DCGT/SNG  AIKEN	95	783600	Zone 3	33150	0					
P	M2	EGT/SNG SESH RICHLAND	95	606400	Zone 1	8570	0					
P	M2	GULFSTH/SNG SESH RICHLAND	95	606500	Zone 1	2764	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	15205	0					
P	M2	SABPL/SNG SABINE VERMILION	95	605200	Zone 0	5884	0					
P	MQ	SCE&G/SNG NORTH AUGUSTA AIKEN	95	780200	Zone 3	10928	0					
P	M2	SEA ROBN/SNG ERATH VERMILION	95	605300	Zone 0	4018	0					
P	M2	TGP/SNG TOCA EXCHANGE ST BERNARD	95	420556	Zone 0	878	0					
D	SOUTH CAROLINA ELECTRIC & GAS COMPANY	7919517	N	FT	452611-MFTSNG-452617	9/1/2009	8/31/2018	365	N	36594	0	
P	M2	ANR/SNG SHADYSIDE SAINT MARY	95	604000	Zone 0	5610	0					
P	MQ	DCGT/SNG  AIKEN	95	783600	Zone 3	27521	0					
P	M2	EGT/SNG SESH RICHLAND	95	606400	Zone 1	7115	0					
P	M2	GULFSTH/SNG SESH RICHLAND	95	606500	Zone 1	2295	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	12625	0					
P	M2	SABPL/SNG SABINE VERMILION	95	605200	Zone 0	4885	0					
P	MQ	SCE&G/SNG NORTH AUGUSTA AIKEN	95	780200	Zone 3	9073	0					
P	M2	SEA ROBN/SNG ERATH VERMILION	95	605300	Zone 0	3335	0					
P	M2	TGP/SNG TOCA EXCHANGE ST BERNARD	95	420556	Zone 0	729	0					
D	SOUTHEAST ALABAMA GAS DISTRICT	9850058	N	FT	452702-MFTSNG-452705	3/1/2005	8/31/2018	365	N	7141	0	
A	SEGAS ASSOCIATION	N										
P	M2	GULFSTH/SNG SESH RICHLAND	95	606500	Zone 1	5050	0					
P	M2	GULFSTH/SNG SHADYSIDE ST MARY	95	630300	Zone 0	33	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	2058	0					
P	MQ	SEAGD/SNG SOUTHEAST AL GAS AREA ELM	95	940031	Zone 2	7141	0					
D	SOUTHEAST ALABAMA GAS DISTRICT	9850058	N	FT	452702-MFTSNG-452706	3/1/2005	8/31/2019		N	1538	0	n1
A	SEGAS ASSOCIATION	N										
P	MQ	SEAGD/SNG SOUTHEAST AL GAS AREA ELM	95	940031	Zone 2	1538	0					
P	M2	SLNG/SNG   CHATHAM	95	660000	Zone 3	1538	0					
D	"SOUTHEAST UTILITIES, LLC"	55350989	N	FT	452711-MFTSNG-452712	8/1/2013	8/31/2016	365	N	800	0	
A	UTILITY MANAGEMENT CORPORATION	N										
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	800	0					
P	MQ	SE UTILS/SNG   WALTHALL	95	725100	Zone 1	800	0					
D	"SOUTHERN COMPANY SERVICES, INC."	75463174	Y	FT	452716-MFTSNG-452722	6/15/2002	5/31/2023		N	90001	0	n1
P	M2	ANR/SNG SHADYSIDE SAINT MARY	95	604000	Zone 0	22328	0					
P	M2	COL GULF/SNG SHADYSIDE ST MARY	95	605500	Zone 0	5000	0					
P	M2	EGT/SNG SESH RICHLAND	95	606400	Zone 1	15735	0					
P	MQ	SO CO/SNG PLANT FRANKLIN (GOAT ROCK	95	807000	Zone 2	90001	0					
P	M2	TGP/SNG ROSE HILL MISS CLARKE	95	420546	Zone 1	26938	0					
P	M2	TGP/SNG TOCA EXCHANGE ST BERNARD	95	420556	Zone 0	20000	0					
D	"SOUTHERN COMPANY SERVICES, INC."	75463174	Y	FT	452716-MFTSNG-452723	6/1/2003	5/31/2023		N	100007	0	n1
P	M2	ANR/SNG SHADYSIDE SAINT MARY	95	604000	Zone 0	5000	0					
P	M2	COL GULF/SNG SHADYSIDE ST MARY	95	605500	Zone 0	32335	0					
P	M2	EGT/SNG SESH RICHLAND	95	606400	Zone 1	5467	0					
P	M2	ETC TIG/SNG SESH RICHLAND	95	606700	Zone 1	10267	0					
P	MQ	SO CO/SNG PLANT FRANKLIN (GOAT ROCK	95	807000	Zone 2	100007	0					
P	M2	TGP/SNG ROSE HILL MISS CLARKE	95	420546	Zone 1	26938	0					
P	M2	TGP/SNG TOCA EXCHANGE ST BERNARD	95	420556	Zone 0	20000	0					
D	"SOUTHERN COMPANY SERVICES, INC."	75463174	Y	FT	452716-MFTSNG-452724	6/1/2003	5/31/2023		N	100007	0	n1
P	M2	COL GULF/SNG SHADYSIDE ST MARY	95	605500	Zone 0	37334	0					
P	M2	ETC TIG/SNG SESH RICHLAND	95	606700	Zone 1	10679	0					
P	M2	GULFSTH/SNG SESH RICHLAND	95	606500	Zone 1	2413	0					
P	MQ	SO CO/SNG PLANT HARRIS AUTAUGA	95	808000	Zone 2	100007	0					
P	M2	TGP/SNG ROSE HILL MISS CLARKE	95	420546	Zone 1	26938	0					
P	M2	TGP/SNG TOCA EXCHANGE ST BERNARD	95	420556	Zone 0	22643	0					
D	"SOUTHERN COMPANY SERVICES, INC."	75463174	Y	FT	452716-MFTSNG-452725	11/7/2003	5/31/2023		N	100007	0	n1
P	M2	ANR/SNG SHADYSIDE SAINT MARY	95	604000	Zone 0	50003	0					
P	MQ	SO CO/SNG PLANT HARRIS AUTAUGA	95	808000	Zone 2	100007	0					
P	M2	TRUNKLNE/SNG SHADYSIDE ST MARY	95	502710	Zone 0	50004	0					
D	"SOUTHERN COMPANY SERVICES, INC."	75463174	Y	FT	452716-MFTSNG-452728	1/1/2006	8/31/2018	365	N	5000	0	
P	MQ	SO CO/SNG PLANT GADSDEN - ALA POWER	95	843200	Zone 2	5000	0					
P	M2	WALT BLK/SNG UDP BLUE CREEK #3 TUSC	95	646840	Zone 2	4000	0					
P	M2	WALT BLK/SNG UDP BLUE CREEK #4 TUSC	95	646870	Zone 2	1000	0					
D	"SOUTHERN COMPANY SERVICES, INC."	75463174	Y	FT	452716-MFTSNG-452738	12/1/2011	8/31/2018	365	N	3100	0	
P	MQ	SO CO/SNG PLANT GADSDEN - ALA POWER	95	843200	Zone 2	3100	0					
P	M2	WALT BLK/SNG UDP BLUE CREEK #4 TUSC	95	646870	Zone 2	3100	0					
D	"SOUTHERN COMPANY SERVICES, INC."	75463174	Y	FT	452716-MFTSNG-452739	1/1/2016	9/30/2028		N	60000	0	n1
P	M2	GULFSTH/SNG PETAL CLARKE	95	606200	Zone 1	18236	0					
P	MQ	SO CO/SNG PLANT MCINTOSH EFFINGHAM	95	600081	Zone 3	60000	0					
P	M2	TGP/SNG ROSE HILL MISS CLARKE	95	420546	Zone 1	41764	0					
D	"SOUTHERN COMPANY SERVICES, INC."	75463174	Y	FT	452716-MFTSNG-452740	10/1/2012	5/31/2032		N	375000	0	n1
P	M2	EGT/SNG SESH RICHLAND	95	606400	Zone 1	150000	0					
P	M2	ETC TIG/SNG SESH RICHLAND	95	606700	Zone 1	150000	0					
P	M2	SLNG/SNG   CHATHAM	95	660000	Zone 3	75000	0					
P	MQ	SO CO/SNG PLANT MCDONOUGH FULTON	95	935800	Zone 3	375000	0					
D	"SOUTHERN COMPANY SERVICES, INC."	75463174	Y	FT	460716-MFTESNG-460717	12/1/2016	3/31/2031		Y	25000	0	n1
P	MQ	SO CO/SNG PLANT MCDONOUGH FULTON	95	935800	Zone 3	25000	0					
P	M2	TRNSCO/EEC Z4 HART	95	938510	Zone 3	25000	0					
D	"SOUTHERN COMPANY SERVICES, INC."	75463174	Y	FT	452716-MFTSNG-461967	9/1/2016	5/31/2023		N	22600	0	n1
P	M2	COL GULF/SNG SHADYSIDE ST MARY	95	605500	Zone 0	2599	0					
P	M2	SABPL/SNG SABINE VERMILION	95	605200	Zone 0	20001	0					
P	MQ	SPIREAL/SNG MONTGOMERY AREA ELMORE	95	940022	Zone 2	22600	0					
D	"SPARTA, CITY OF"	38388567	N	FT	452835-MFTSNG-452839	1/1/2010	8/31/2016	365	N	201	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	M2	AMP/SNG UDP CARTHAGE LATERAL DESOTO	95	650090	Zone 0	42	0					
P	M2	ANR/SNG SHADYSIDE SAINT MARY	95	604000	Zone 0	61	0					
P	M2	EGT/SNG SESH RICHLAND	95	606400	Zone 1	49	0					
P	M2	ENERGYQU/SNG UDP BAYOU SALE #1-TEXA	95	630000	Zone 0	7	0					
P	M2	ETC TIG/SNG SESH RICHLAND	95	606700	Zone 1	42	0					
P	MQ	SPARTA/SNG   WASHINGTON	95	930200	Zone 3	201	0					
D	SPIRE ALABAMA INC.	6900104	N	FT	450292-MFTSNG-450299	12/1/2006	8/31/2018	365	N	0	0	
P	M2	SLNG/SNG   CHATHAM	95	660000	Zone 3	0	0					
P	MQ	SPIREAL/SNG MONTGOMERY AREA ELMORE	95	940022	Zone 2	0	0					
D	SPIRE ALABAMA INC.	6900104	N	FT	450292-MFTSNG-456008	10/1/2015	8/31/2018	365	N	84675	0	
P	M2	COL GULF/SNG SHADYSIDE ST MARY	95	605500	Zone 0	29587	0					
P	M2	EGT/SNG SESH RICHLAND	95	606400	Zone 1	19714	0					
P	M2	GULFSTH/SNG SESH RICHLAND	95	606500	Zone 1	9849	0					
P	M2	SOUTHXPL/SNG DUNCANVILLE TUSCALOOSA	95	605400	Zone 2	25525	0					
P	MQ	SPIREAL/SNG ANNISTON AREA CALHOUN	95	659700	Zone 2	6045	0					
P	MQ	SPIREAL/SNG BIRMINGHAM AREA JEFFERS	95	658500	Zone 2	31871	0					
P	MQ	SPIREAL/SNG BRENT TUSCALOOSA	95	817400	Zone 2	201	0					
P	MQ	SPIREAL/SNG DEMOPOLIS AREA MARENGO	95	659900	Zone 2	1114	0					
P	MQ	SPIREAL/SNG FAIRFAX-SHAWMUT AREA CH	95	940021	Zone 2	951	0					
P	MQ	SPIREAL/SNG GADSDEN AREA ETOWAH	95	654700	Zone 2	5519	0					
P	MQ	SPIREAL/SNG JASPER AREA WALKER	95	940035	Zone 2	4486	0					
P	MQ	SPIREAL/SNG LINCOLN AREA ST. CLAIR	95	940005	Zone 2	318	0					
P	MQ	SPIREAL/SNG MONTGOMERY #2 ELMORE	95	805100	Zone 2	556	0					
P	MQ	SPIREAL/SNG MONTGOMERY AREA ELMORE	95	940022	Zone 2	4380	0					
P	MQ	SPIREAL/SNG OPELIKA AREA LEE	95	940011	Zone 2	3532	0					
P	MQ	SPIREAL/SNG PELL CITY AREA ST. CLAI	95	940056	Zone 2	259	0					
P	MQ	SPIREAL/SNG PHENIX CITY AREA RUSSEL	95	600076	Zone 2	1505	0					
P	MQ	SPIREAL/SNG REFORM AREA PICKENS	95	940046	Zone 2	100	0					
P	MQ	SPIREAL/SNG RUSSELL MILLS ELMORE	95	806000	Zone 2	44	0					
P	MQ	SPIREAL/SNG SELMA AREA DALLAS	95	940023	Zone 2	1740	0					
P	MQ	SPIREAL/SNG TALLADEGA AREA TALLADEG	95	940006	Zone 2	1874	0					
P	MQ	SPIREAL/SNG TUSCALOOSA AREA TUSCALO	95	940002	Zone 2	18825	0					
P	MQ	SPIREAL/SNG TUSKEGEE AREA MACON	95	940024	Zone 2	1355	0					
D	SPIRE ALABAMA INC.	6900104	N	FT	450292-MFTSNG-460668	9/1/2016	8/31/2021		N	8418	0	n1
P	M2	GULFSTH/SNG SHADYSIDE ST MARY	95	630300	Zone 0	3467	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	4951	0					
P	MQ	SPIREAL/SNG BIRMINGHAM AREA JEFFERS	95	658500	Zone 2	8418	0					
D	"STATESBORO, CITY OF"	26556241	N	FT	452850-MFTSNG-452854	1/1/2010	8/31/2016	365	N	1023	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	M2	AMP/SNG UDP CARTHAGE LATERAL DESOTO	95	650090	Zone 0	801	0					
